problema,modelo,y_true,y_proba
anegamiento,XGBoost,0,3.2494881452294067e-05
anegamiento,XGBoost,1,0.999669075012207
anegamiento,XGBoost,0,8.279333269456401e-05
anegamiento,XGBoost,0,0.0003554540453478694
anegamiento,XGBoost,1,0.9996825456619263
anegamiento,XGBoost,0,3.981236295658164e-05
anegamiento,XGBoost,0,0.04475834593176842
anegamiento,XGBoost,0,0.00019581337983254343
anegamiento,XGBoost,1,0.9997645020484924
anegamiento,XGBoost,0,0.00020554377988446504
anegamiento,XGBoost,0,0.0002197653375333175
anegamiento,XGBoost,0,0.003785027889534831
anegamiento,XGBoost,0,3.600745549192652e-05
anegamiento,XGBoost,0,4.649345646612346e-05
anegamiento,XGBoost,0,3.957815351895988e-05
anegamiento,XGBoost,0,6.06249195698183e-05
anegamiento,XGBoost,0,0.06416508555412292
anegamiento,XGBoost,0,0.0008194088004529476
anegamiento,XGBoost,0,0.00011240589810768142
anegamiento,XGBoost,0,0.011765538714826107
anegamiento,XGBoost,0,0.00016031299310270697
anegamiento,XGBoost,0,9.438680717721581e-05
anegamiento,XGBoost,0,0.0018051776569336653
anegamiento,XGBoost,0,0.00025868427474051714
anegamiento,XGBoost,0,0.0001493588206358254
anegamiento,XGBoost,1,0.947070837020874
anegamiento,XGBoost,0,0.02292722836136818
anegamiento,XGBoost,0,3.4652326576178893e-05
anegamiento,XGBoost,0,0.0010081955697387457
anegamiento,XGBoost,0,0.005364804994314909
anegamiento,XGBoost,0,0.0010771597735583782
anegamiento,XGBoost,0,0.0001690692879492417
anegamiento,XGBoost,1,0.9972387552261353
anegamiento,XGBoost,0,0.00014526683662552387
anegamiento,XGBoost,0,9.55625218921341e-05
anegamiento,XGBoost,1,0.9964141249656677
anegamiento,XGBoost,0,0.0612591952085495
anegamiento,XGBoost,0,3.9609381929039955e-05
anegamiento,XGBoost,0,0.00011975560482824221
anegamiento,XGBoost,0,0.00034495742875151336
anegamiento,XGBoost,0,0.00019282742869108915
anegamiento,XGBoost,0,0.007678228430449963
anegamiento,XGBoost,0,3.846747495117597e-05
anegamiento,XGBoost,0,0.00015598071331623942
anegamiento,XGBoost,0,0.00018359522800892591
anegamiento,XGBoost,0,0.5027891397476196
anegamiento,XGBoost,0,0.0008058156236074865
anegamiento,XGBoost,0,0.6783832311630249
anegamiento,XGBoost,0,0.00012685032561421394
anegamiento,XGBoost,0,3.992482743342407e-05
anegamiento,XGBoost,1,0.7900515198707581
anegamiento,XGBoost,0,0.07662530243396759
anegamiento,XGBoost,0,0.0026217203121632338
anegamiento,XGBoost,0,0.000795142084825784
anegamiento,XGBoost,0,5.5307038564933464e-05
anegamiento,XGBoost,0,0.001787933288142085
anegamiento,XGBoost,1,0.9976857900619507
anegamiento,XGBoost,0,6.662680971203372e-05
anegamiento,XGBoost,1,0.6740431189537048
anegamiento,XGBoost,0,4.2923205910483375e-05
anegamiento,XGBoost,0,9.981479524867609e-05
anegamiento,XGBoost,0,8.901400724425912e-05
anegamiento,XGBoost,0,8.78358114277944e-05
anegamiento,XGBoost,0,0.00017144660523626953
anegamiento,XGBoost,0,8.942963904701173e-05
anegamiento,XGBoost,0,0.007276508025825024
anegamiento,XGBoost,0,0.00035635894164443016
anegamiento,XGBoost,0,4.04422971769236e-05
anegamiento,XGBoost,0,0.0004943913663737476
anegamiento,XGBoost,1,0.9997816681861877
