ACCENUMB,y_true,y_pred,y_proba
G22405,1,1,0.9616161785613134
G7212,0,0,0.0013515033576718
G4762,1,1,0.9199319305395592
G50462,0,0,3.5249069948613925e-05
G3336,0,0,2.6714646671097237e-05
G10083,0,0,0.0003991298460188758
G50340,1,1,0.9818178135754202
G18198,0,0,3.589883754339312e-05
G19908,0,0,0.0003419293510118255
G21193,0,0,4.297340282857267e-05
G22337,0,0,0.0007058138529259262
G3531,1,1,0.9350848172480448
G4647,1,1,0.97878122036129
G18546,0,0,0.0002956527186333826
G20027,0,0,2.80876832851648e-05
G18962A,0,0,2.8552678164158053e-05
G12676,0,0,1.726667657443453e-05
G52366,0,0,0.0013727832484795
G171,0,0,0.0011029929629501
G24364,0,0,3.264442911119764e-05
G20306,0,0,2.009920232442151e-05
G1390,0,0,0.000146401484264139
G17000,0,0,1.720553534537571e-05
G51262D,0,0,0.001112343249358
G4388,0,0,3.170558595395332e-05
G50148,1,1,0.96433276537978
G344,0,0,4.574723719500571e-05
G22645,1,1,0.970450553271655
G8154,1,1,0.998370635409395
G18587,0,0,0.0004019714831919848
G24626,1,1,0.9813556717999604
G51363,0,0,0.0003764731456816593
G22353,1,1,0.9767739243978848
G18636,0,0,0.0002655737692448939
G1769,0,0,0.00012420082560956214
G15284,0,0,0.0079184191855409
G483A,1,1,0.9004133759576247
G50381,0,0,3.830892823834104e-05
G24889,0,0,0.00011148368085439184
G17001,0,0,0.0052460116361976
G11851,0,0,0.0004762766844938548
G491,0,0,0.00010150015702620802
G11035,0,0,2.2848067787948647e-05
G528,0,0,3.1239403728433345e-05
G22652,0,0,0.00019763591440489367
G604,0,0,2.494845410012629e-05
G13072,0,0,0.0001494529721329578
G570,0,0,1.725120915959102e-05
G20344,0,0,0.00013221871504910142
G9819,0,0,2.126076443083161e-05
G12913,0,0,1.6770521213683193e-05
G7776,1,1,0.998228964199836
G19706,0,0,3.388471597738707e-05
G4697,1,1,0.9978420288897196
G3397,0,0,4.435109552052049e-05
G3346,0,0,0.0005037671046173308
G20933A,0,0,0.0025173544863492
G274,0,0,3.468487176102884e-05
G22865,0,0,0.00010753874273874248
G14209,0,0,0.0189142821099759
G839,0,0,3.22906041815772e-05
G20274,0,0,6.381228409881322e-05
G21945,1,1,0.9796240870448444
G3805,0,0,0.0198980455608477
G20934,0,0,0.00025730320123011776
G2907,0,0,3.2181598970752766e-05
G51591,0,0,0.0022506477581817
G3359,1,1,0.9925793858032506
G18201,0,0,6.411741783200288e-05
G629,0,0,5.288971854533118e-05
G20638,0,0,1.817258219446528e-05
G1805,0,0,3.4793505026725304e-05
G20887,0,0,0.00030556589049334366
G50899,0,0,0.00021034510288405308
G51069,0,0,8.009129436513172e-05
G13982,0,0,2.33638853309722e-05
G20017,0,0,2.403358447587822e-05
G22490,0,0,0.0003065446091868433
G1756,1,1,0.998457858156307
G52467,0,0,5.8066210067811056e-05
G23413A,1,1,0.9679801937743432
G23731,0,0,7.630752050172157e-05
G16078,0,0,5.298684085894693e-05
G52375,0,0,0.0047763942237902
G19042,0,0,4.045189479353959e-05
G18666,0,0,0.0002602722208853704
G20625,0,0,0.0030924960690145
G14719,0,0,0.0031879671261798
G941,1,1,0.9825899971196232
G23415G,0,0,8.396936202577457e-05
G22434,0,0,0.00014611926010648998
G7751,0,0,0.00012712399242731913
G50075,0,0,0.0008362153046698181
G3237,1,1,0.9840798886225488
G17213D,0,0,0.0001276260635898574
G357,0,0,4.316738851522176e-05
G6944,0,0,0.0009740252168362056
G18963,0,0,2.7005005253140025e-05
G23449,0,0,6.330676973180867e-05
G23903,0,0,0.0142057215734834
G24432,1,1,0.9860611341780944
G23543,0,0,3.8559121876088914e-05
G11613,0,0,9.017616743869613e-05
G987,0,0,1.879481364797237e-05
G20030,0,0,2.8680648261473412e-05
G420,0,0,4.6388744830277937e-05
G3543,0,0,1.3703452800016715e-05
G23010,0,0,0.0018338316633476
G16148,0,0,0.00010321980883411853
G22384,1,1,0.9581496564642444
G24582,0,0,0.0001893626459934416
G414,0,0,0.0001790731253976712
G20357,0,0,7.181151791607314e-05
G897,0,0,7.796139837546721e-05
G3171,0,0,9.143262450126745e-05
G7257,1,1,0.7079236420606624
G11763,0,0,5.7897348791883727e-05
G9905,0,0,0.000980189962923195
G955,1,1,0.8216680941345661
G16984,0,0,1.5979028780062572e-05
G52195,1,1,0.9974008025463552
G24469,0,0,5.235876057950146e-05
G21946,1,1,0.93556772452051
G3575,0,0,1.3170711751866743e-05
G19733,0,0,0.0152537883027179
G19881,0,0,0.00012651689817187148
G24534,0,0,6.091644802036381e-05
G18660,0,0,0.0002602722208853704
G51429,1,1,0.999464672021638
G24296,0,0,5.681398708768568e-05
G22027,0,0,2.297353298219118e-05
G3246,0,0,0.0013451257020823
G52342,0,0,0.0410479119981729
G8255,0,0,0.0010719874643962
G20664,0,0,0.0012876923496528
G18574,0,0,0.00034989318248169506
G20738,0,0,0.0035020692962415
G449,0,0,0.0042062580823917
G20128,0,0,6.462252213953143e-05
G11106,0,0,0.00015217123643134688
G23506,0,0,2.405054471720217e-05
G1944,0,0,0.0108998389867686
G21197,0,0,8.7732283405969e-05
G19111,0,0,3.120519119689313e-05
G52023,0,0,2.2321549029290925e-05
