DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ORIGCTY,COLLSITE,DECLONGITUDE,ELEVATION,MODCF_CloudForestPrediction,MODCF_seasonality_concentration,current_30arcsec_aridityIndexThornthwaite,CRFVOL_M_sl1,BDRICM_M,PHIKCL_M_sl1,BDRLOG_M,SLGWRB,ACDWRB_M_ss,bio14,bio18,bio19,bio2,bio9
10.18730/JHEH9,G13139,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,TUR,YALOVA - ISTANBUL,29.25,-0.7881413768467637,-0.7053848191768669,1.1337275273307097,-0.4820372532272616,-0.4291230471690684,0.6417822756300026,1.5639235701749956,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,-0.0336146566401156,-1.2832206595741849,0.0818402154857488,-1.1203653139464624,1.003737804904616
10.18730/JHE91,G13138,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,TUR,ANKARA - ANKARA,32.93,-0.7333034539851173,-0.7019211331017793,0.7851132462124082,-0.5574808875175923,-0.4291230471690684,0.6417822756300026,1.7364319049852073,-0.6697263392148419,-0.1033495786669646,-1.2525984963973449,-0.4751983912205167,-1.4086613128699002,-0.2930204251197368,-0.0098297168423201,0.6032952747212978
10.18730/PMCK3,G13126,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,CHN,LU-TA,121.58,-1.204030653574472,-0.721813098790003,-0.4611828087855191,-0.3675996224581738,-0.0195927002889141,0.6417822756300026,0.5288735613137256,-0.7278333683439961,-0.1033495786669646,-1.2525984963973449,-0.585594324865617,0.4387373993033635,-0.7081886614892532,-1.70353590356269,-3.379732775278053
10.18730/PMCJ2,G13127,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,CHN,LU-TA,121.58,-1.204030653574472,-0.721813098790003,-0.4611828087855191,-0.3675996224581738,-0.0195927002889141,0.6417822756300026,0.5288735613137256,-0.7278333683439961,-0.1033495786669646,-1.2525984963973449,-0.585594324865617,0.4387373993033635,-0.7081886614892532,-1.70353590356269,-3.379732775278053
10.18730/JNBVQ,G13121,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,MKD,DRAGOEVO - SHTIP,22.13,-1.527329789950146,-0.7218138983088814,0.3929221799543191,-0.7046176063731938,-0.0195927002889141,0.6417822756300026,1.7364319049852073,-0.902154455731459,-0.1033495786669646,-1.2525984963973449,0.1135799215533514,-1.0950596796306116,-0.4300662507174412,-0.4869693035265285,-2.4351774012642933
10.18730/K3QSF,G13122,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,MKD,KLISURA - DEMIR KAPIJA,22.29,-1.5820568370072503,-0.721814260714151,0.7415364610726205,-0.6132719723494107,0.7994679934713945,0.6417822756300026,0.356365226503514,-0.5535122809565333,-0.1033495786669646,-1.2525984963973449,0.1503785661017181,-1.1520781584013913,-0.4260354911410381,-0.6376450158531887,0.9334312037204696
10.18730/JND6X,G13125,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,CRI,SAN ISIDRO DE EL GENERAL - SAN ISIDRO DE EL GENERAL - SAN JOSE,-83.7,-1.0324283284299085,-0.39407301398016,-0.8446585180156506,0.0677809622917429,-1.111673625302659,0.6417822756300026,-0.1611597779271209,-1.250796630506385,-0.1033495786669646,0.1587457987745961,0.8495528125206866,1.8242864334333115,1.178206820267384,-0.2693267814648027,0.948715242386232
10.18730/JNBQK,G13119,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,MKD,IVANKOVCI - VELES,21.81,-1.322103363486003,-0.7218141098505415,0.2970532526467863,-0.7220656300116749,-0.1561028159156322,0.6417822756300026,1.391415235364784,-1.0183685139897676,-0.1033495786669646,-1.2525984963973449,0.1871772106500849,-1.0665504402452215,-0.4099124528354259,-0.4367441136917679,-2.6002452990330243
10.18730/K3K3D,G13120,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,MKD,ZDUNJE - MAKEDONSKI BROD,21.17,-1.3494668870145554,-0.72181402344131,-0.182291383890878,-0.993274532682291,1.0724882247248306,0.6417822756300026,-0.5061764475475442,-0.2629771353107618,-0.1033495786669646,-1.2525984963973449,0.4447677224886522,-1.026637505105676,-0.19225143570966,-0.8190139192297128,0.5818976147588196
10.18730/JNB95,G13117,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,MKD,RATAE - TEARCE,21.03,-1.4794436237751791,-0.7218137380346422,0.0355925418080602,-0.9111588907648438,-0.8386533940492227,0.6417822756300026,0.356365226503514,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,0.6287609452304861,-0.9582153305807404,-0.1076054846051955,-0.3725673612310597,0.6827724681867664
