DOI,ACCENUMB,ORIGCTY,DECLATITUDE,DECLONGITUDE,Pred_Resistencia,Probabilidad_Resistencia
10.18730/JK8XV,G16447,IRN,37.25,55.15,0,0.013129183
10.18730/JK736,G14841,IRN,33.68,50.33,0,0.0005698381
10.18730/JNEE*,G14491,IRN,36.84,54.49,1,0.9725027
10.18730/JKTE~,G14161,IRN,36.5,53.5,1,0.8657587
10.18730/JKTBY,G14160,IRN,31.89,54.41,0,0.0008509495
10.18730/JKR91,G14124,IRN,33.5,48.5,0,0.0008888989
10.18730/K07TN,G1409,IRN,29.63,51.65,0,0.0004535922
10.18730/JK7JN,G14078,IRN,30.27,52.02,0,0.00061569747
10.18730/JK7RV,G14075,IRN,34.32,48.83,0,0.00063233724
10.18730/K086~,G1403,IRN,30.28,57.08,0,0.0003863821
10.18730/JZXY1,G1009,IRN,36.57,52.7,1,0.98926103
10.18730/JZY8B,G1007,IRN,35.77,51.97,0,0.007546802
10.18730/K4JHM,G5555,IRN,30.4,56.0,0,0.0004496413
10.18730/JRGZ3,G9996,MEX,20.43,-104.7,0,0.0010740177
10.18730/PGDJ8,G9998,MEX,20.3,-103.2,0,0.00036034794
10.18730/JRGW0,G9991,MEX,20.12,-104.37,0,0.00014281168
10.18730/JRH37,G9993,MEX,20.13,-102.08,0,0.00012352184
10.18730/S2N68,G9989C,MEX,20.5,-104.82,0,0.004385554
10.18730/PMPZ2,G9988,MEX,20.67,-102.45,0,0.00020100838
10.18730/K3BAQ,G9978,MEX,23.21,-106.24,0,0.00028887237
10.18730/K3B8N,G9976,MEX,20.23,-98.0,1,0.9778243
10.18730/K3B7M,G9975,MEX,19.81,-97.79,0,0.03141738
10.18730/K3A8T,G9941,MEX,21.64,-102.97,0,0.00025715033
10.18730/K3A1K,G9932,MEX,21.86,-102.72,0,0.0003119168
10.18730/K39YG,G9928,MEX,20.52,-97.38,0,0.0081440685
10.18730/K39G2,G9912,MEX,20.77,-97.28,0,0.45069343
10.18730/K399*,G9905,MEX,18.8,-97.18,0,0.0041184165
10.18730/K39B$,G9907,MEX,19.05,-98.18,0,0.00028876003
10.18730/K396X,G9902,MEX,21.54,-104.9,0,0.0011337365
10.18730/K394V,G9900,MEX,18.75,-97.32,0,0.22946683
10.18730/K393T,G9899,MEX,18.64,-97.39,0,0.00092758646
10.18730/K3Q4Z,G9898,MEX,18.84,-97.1,0,0.015425132
10.18730/K38B2,G9870,MEX,19.4,-99.15,0,0.0002562565
10.18730/K411F,G985A,MEX,16.27,-92.13,0,0.0007978533
10.18730/K3GJ6,G9830,MEX,20.35,-101.97,0,0.0002609449
10.18730/JNX2K,G9828,MEX,21.35,-102.81,0,0.00028746214
10.18730/JNX3M,G9829,MEX,20.46,-103.17,0,0.00030058998
10.18730/JNWB~,G9823,MEX,21.26,-102.77,0,0.00026632217
10.18730/S5C3E,G9820A,MEX,21.19,-102.9,0,0.0003087864
10.18730/JNVQD,G9818,MEX,21.46,-102.59,0,0.0002991263
10.18730/K37B7,G9819,MEX,21.53,-102.43,0,0.00023723888
10.18730/JNVVH,G9812,MEX,21.37,-101.92,0,0.00022742142
10.18730/K37A6,G9810,MEX,21.89,-102.33,0,0.00021536564
10.18730/JNGMW,G9800,MEX,22.79,-102.59,0,0.00037356373
10.18730/JNT83,G9784,MEX,22.38,-102.88,0,0.00021581851
10.18730/K3E0=,G9785,MEX,21.43,-103.12,0,0.00019993892
10.18730/K373U,G9783,MEX,21.8,-103.46,0,0.0009728025
10.18730/JNRV*,G9743,MEX,20.55,-102.52,0,0.00020517193
10.18730/JNRQW,G9740,MEX,20.35,-102.0,0,0.0002622498
10.18730/JNREK,G9735,MEX,20.69,-101.47,0,0.0002012431
10.18730/K3Q2X,G9720,MEX,20.41,-100.0,0,0.00024588118
10.18730/JNQQ~,G9716,MEX,19.96,-99.86,0,0.00029184882
10.18730/JNQAM,G9714,MEX,17.65,-99.55,0,0.00022212282
10.18730/JNNS8,G9676,MEX,20.92,-97.68,0,0.005149214
10.18730/JNNAY,G9664,MEX,20.07,-97.05,0,0.013758558
10.18730/K35MT,G9654,MEX,20.13,-102.11,0,0.00018001908
10.18730/K35NV,G9655,MEX,21.02,-102.4,0,0.00037112567
10.18730/K35QX,G9657,MEX,19.15,-96.95,1,0.5797271
10.18730/K35KS,G9653,MEX,20.34,-102.3,0,0.00040339332
10.18730/JH6WQ,G9612,MEX,20.0,-102.34,0,0.00018286581
10.18730/JZ3RE,G95,MEX,19.56,-99.28,0,8.855015e-05
10.18730/JZWEV,G939,MEX,19.83,-97.36,1,0.994628
10.18730/JZW4H,G938,MEX,16.75,-96.74,0,0.00020409453
10.18730/JZW0D,G937,MEX,19.54,-103.76,0,0.0003688631
10.18730/JZWBR,G936,MEX,20.21,-99.59,0,0.00010334939
10.18730/JZWAQ,G935,MEX,16.74,-92.03,0,0.16340327
10.18730/JZW9P,G934,MEX,19.24,-99.61,0,0.000728937
10.18730/JZW8N,G933,MEX,19.53,-98.89,0,0.00021431704
10.18730/JZW7M,G932,MEX,19.49,-98.89,0,0.0002709546
10.18730/K32FU,G9284,MEX,19.75,-97.25,1,0.9961014
10.18730/K32E=,G9283,MEX,16.67,-96.11,0,0.00017517875
10.18730/JZVYB,G915,MEX,19.69,-103.49,0,0.00030123576
10.18730/JZ46W,G91,MEX,20.01,-97.86,1,0.9820806
10.18730/K30WP,G9075,MEX,16.84,-99.83,0,0.0011959216
10.18730/K30JC,G8932,MEX,24.74,-104.45,0,0.00025277192
10.18730/K30HB,G8931,MEX,19.67,-99.19,0,0.00018501269
10.18730/K30F9,G8929,MEX,22.79,-102.61,0,0.00019005945
10.18730/K30D7,G8927,MEX,23.19,-102.91,0,0.00024305504
10.18730/K30A4,G8924,MEX,19.84,-98.99,0,0.00020176878
10.18730/K30B5,G8925,MEX,19.8,-98.98,0,0.00021973538
10.18730/K3082,G8922,MEX,19.3,-99.67,0,0.0012893596
10.18730/K3093,G8923,MEX,19.25,-98.89,0,0.00023583298
10.18730/K304=,G8918,MEX,21.89,-101.6,0,0.00013206099
10.18730/K305U,G8919,MEX,19.25,-99.65,0,0.0007944892
10.18730/K302~,G8915,MEX,20.69,-103.47,0,0.00029787893
10.18730/K301*,G8914,MEX,21.28,-102.34,0,0.00035183466
10.18730/K300Z,G8913,MEX,20.04,-100.72,0,0.0001736769
10.18730/K2ZXW,G8910,MEX,24.05,-104.55,0,0.00024807962
10.18730/K2ZZY,G8912,MEX,25.37,-105.75,0,0.00033566135
10.18730/K2ZYX,G8911,MEX,24.03,-104.55,0,0.00024448326
10.18730/K2ZWV,G8909,MEX,24.46,-104.11,0,0.00016706549
10.18730/K2ZVT,G8908,MEX,24.53,-104.78,0,0.0001440192
10.18730/K2ZSR,G8906,MEX,23.73,-103.99,0,0.0003304273
10.18730/K2ZRQ,G8905,MEX,24.52,-104.74,0,0.000196452
10.18730/K2ZQP,G8904,MEX,23.84,-104.24,0,0.0002702459
10.18730/K2ZPN,G8903,MEX,24.4,-104.34,0,0.00024785052
10.18730/K2ZKJ,G8900,MEX,22.24,-102.32,0,0.00024949288
10.18730/K2ZA9,G8858,MEX,20.38,-99.66,0,0.00014630526
10.18730/K2ZBA,G8859,MEX,20.05,-102.74,0,0.00013926442
10.18730/JZTM6,G880,MEX,20.12,-98.73,0,0.00019035378
10.18730/JZTQ9,G874,MEX,17.05,-96.72,0,0.00014058102
10.18730/JZTK5,G869,MEX,18.35,-99.53,0,0.000340801
10.18730/JZTE0,G864,MEX,19.32,-97.93,0,0.0004753844
10.18730/JZTDU,G863,MEX,27.02,-108.93,0,0.00037649553
10.18730/JZT9*,G859,MEX,17.8,-97.77,0,0.00018476642
10.18730/JZT8Z,G858,MEX,17.05,-96.67,0,0.00012456639
10.18730/JZSYN,G848,MEX,20.14,-98.75,0,0.00023065445
10.18730/JZSWK,G846,MEX,20.19,-98.06,1,0.8439553
10.18730/JZSRF,G842,MEX,20.11,-98.37,0,0.00024107161
10.18730/JZSNC,G839,MEX,19.43,-98.17,0,0.00036364657
10.18730/K2HNG,G8238,MEX,19.79,-101.55,0,0.00013788373
10.18730/K2HJD,G8235,MEX,19.03,-98.33,0,0.00025278446
10.18730/JZS1X,G819,MEX,19.78,-104.37,0,0.0003797406
10.18730/JZRPJ,G817,MEX,22.0,-105.0,0,0.001147933
10.18730/JZRD9,G816,MEX,19.42,-102.07,0,0.00033718048
10.18730/K2FTZ,G8146,MEX,18.87,-97.38,0,0.00061841717
10.18730/JZRHD,G802,MEX,18.88,-96.93,0,0.013647325
10.18730/K2F05,G7971,MEX,22.18,-102.35,0,0.0001651681
10.18730/K2ES=,G7960,MEX,16.79,-96.47,0,0.00011144312
10.18730/K2EQ~,G7956,MEX,25.08,-103.75,0,0.00025927663
10.18730/K2ENZ,G7953,MEX,16.91,-96.36,0,0.000106799635
10.18730/K2EMY,G7952,MEX,17.07,-96.72,0,8.487253e-05
10.18730/K2DY8,G7887,MEX,19.85,-102.1,0,0.00021538907
10.18730/K2DV5,G7884,MEX,20.96,-100.75,0,0.00013188808
10.18730/K2DW6,G7885,MEX,20.46,-101.55,0,0.0002076121
10.18730/K2C4R,G7810,MEX,18.97,-97.93,0,0.0002189196
10.18730/K2C1N,G7807,MEX,20.22,-101.14,0,0.00027878693
10.18730/K2BYJ,G7804,MEX,16.54,-92.82,0,0.000153069
10.18730/K2C3Q,G7809,MEX,20.22,-100.37,0,6.419742e-05
10.18730/K2C0M,G7806,MEX,20.63,-101.15,0,0.00033111824
10.18730/K2BXH,G7803,MEX,22.14,-102.27,0,0.00016942724
10.18730/K2BWG,G7802,MEX,18.42,-97.44,0,0.0003573874
10.18730/S2E33,G7760B,MEX,17.25,-96.8,0,0.0001313265
10.18730/K2ASJ,G7762,MEX,17.77,-97.79,0,0.00020741721
10.18730/K2ARH,G7761,MEX,17.25,-96.89,0,0.00012770815
10.18730/K2AHA,G7753,MEX,21.08,-104.36,0,0.002531629
10.18730/K3PYS,G7752,MEX,18.93,-99.23,0,0.00021388898
10.18730/K2AG9,G7751,MEX,18.41,-99.99,0,0.0008368782
10.18730/K2AB4,G7746,MEX,19.32,-103.6,0,0.00024477925
10.18730/K2AC5,G7747,MEX,19.32,-103.76,0,0.000239862
10.18730/K2AD6,G7748,MEX,18.19,-99.39,0,0.00041230768
10.18730/K2A92,G7744,MEX,15.02,-92.37,0,0.000669816
10.18730/K2AA3,G7745,MEX,16.71,-93.72,0,0.00013178337
10.18730/K2A81,G7743,MEX,16.75,-93.12,0,0.00016311281
10.18730/K2A6U,G7741,MEX,16.77,-92.63,1,0.6989734
10.18730/K2A5=,G7740,MEX,16.25,-92.13,0,0.0018017192
10.18730/S2E00,G7479K,MEX,18.32,-99.82,0,0.00019056044
10.18730/JFJ62,G7118,MEX,19.05,-98.42,0,0.00023245755
10.18730/JFK4*,G7094,MEX,25.53,-103.47,0,0.00044869847
10.18730/JFNW9,G6992,MEX,20.52,-100.95,0,0.0002937742
10.18730/JFTD6,G6795,MEX,19.31,-100.44,0,0.00024625915
10.18730/JFV1T,G6794,MEX,20.93,-101.42,0,0.0003696992
10.18730/JFTZR,G6792,MEX,20.59,-100.84,0,0.00034925423
10.18730/JFTYQ,G6791,MEX,20.24,-100.86,0,0.0004057012
10.18730/JFV8~,G6782,MEX,18.74,-98.97,0,0.00031453243
10.18730/S3WC4,G6777A,MEX,18.9,-99.15,0,0.00016921572
10.18730/JFV4X,G6778,MEX,18.59,-98.86,0,0.00057034235
10.18730/JFV7*,G6781,MEX,18.76,-98.99,0,0.0004632677
10.18730/JFV2V,G6775,MEX,18.62,-99.19,0,0.00028396078
10.18730/JFVH5,G6772,MEX,19.2,-103.72,0,0.00030262468
10.18730/JFVE2,G6768,MEX,16.33,-95.23,0,0.00038002548
10.18730/JFVQB,G6757,MEX,22.51,-105.37,0,0.0013274387
10.18730/JFW3Q,G6750,MEX,16.65,-93.8,0,0.00017175275
10.18730/JFW2P,G6749,MEX,15.69,-93.22,0,0.0012558139
10.18730/JFW0M,G6747,MEX,16.22,-93.92,0,0.0008495536
10.18730/JFXCV,G6524,MEX,-8.07,-35.01,1,0.9177706
10.18730/JFYJW,G6463,MEX,14.92,-92.27,0,0.0012689148
10.18730/JFYW1,G6452,MEX,15.32,-92.67,0,0.0009103696
10.18730/JFZCH,G6445,MEX,16.85,-93.22,0,0.0008688804
10.18730/JFZX$,G6422,MEX,23.44,-100.78,0,0.0005218531
10.18730/JFZTZ,G6419,MEX,18.83,-96.39,0,0.00091015274
10.18730/JG0DD,G6387,MEX,22.57,-102.22,0,0.0002551375
10.18730/JG0CC,G6386,MEX,18.88,-99.15,0,0.00012557438
10.18730/JG67E,G6144,MEX,18.38,-95.3,0,0.0232481
10.18730/JG63A,G6140,MEX,21.99,-99.03,0,0.0013759821
10.18730/JG6EN,G6131,MEX,16.58,-95.11,0,0.00060812524
10.18730/JG6AH,G6127,MEX,20.36,-99.64,0,0.00015699418
10.18730/JG69G,G6126,MEX,19.43,-97.61,0,0.0032812608
10.18730/JG6S*,G6123,MEX,21.49,-101.24,0,8.307986e-05
10.18730/JG6T~,G6124,MEX,21.14,-100.91,0,0.00018918922
10.18730/JG6RZ,G6122,MEX,20.4,-101.23,0,0.00016504782
10.18730/JG6QY,G6121,MEX,20.53,-100.79,0,0.00041336296
10.18730/JG6MV,G6118,MEX,15.42,-92.12,0,0.0008966587
10.18730/JG6KT,G6117,MEX,15.47,-92.15,0,0.014135399
10.18730/JG713,G6113,MEX,16.11,-93.75,0,0.0005437417
10.18730/JG702,G6112,MEX,15.2,-92.43,0,0.0009833918
10.18730/K3CT$,G6104,MEX,19.21,-99.57,0,0.0004670893
10.18730/JG7CE,G6105,MEX,16.24,-93.24,0,0.00019148224
10.18730/JGC4J,G5902,MEX,18.13,-93.02,0,0.022447132
10.18730/JGCQ0,G5889,MEX,25.92,-109.19,0,0.00015542131
10.18730/JGFJH,G5764,MEX,19.28,-99.67,0,0.0003981795
10.18730/JGFSR,G5759,MEX,18.38,-99.87,0,0.0003278805
10.18730/JGGGA,G5691,MEX,19.5,-97.49,0,0.0011065144
10.18730/JGGE8,G5687,MEX,20.97,-101.44,0,0.00028509006
10.18730/JGHE3,G5625,MEX,18.81,-98.97,0,0.000232652
10.18730/JGJG0,G5516,MEX,16.81,-96.68,0,0.00022718693
10.18730/JGP01,G5297,MEX,21.12,-101.74,0,0.00019640988
10.18730/JGSJ4,G5143,MEX,18.44,-95.19,0,0.048131406
10.18730/JGSH3,G5142,MEX,21.02,-101.28,0,0.0001247874
10.18730/JGSG2,G5141,MEX,19.44,-102.09,0,0.0011195254
10.18730/PHBQB,G51360,MEX,18.98,-98.93,0,0.00025054123
10.18730/K3WY*,G51339,MEX,23.46,-103.89,0,0.00037582516
10.18730/JYWC0,G51069,MEX,18.45,-100.0,0,0.0006183297
10.18730/JYW6Z,G51068,MEX,18.43,-100.17,0,0.000784374
10.18730/JYW5Y,G51067,MEX,18.45,-100.02,0,0.0003231212
10.18730/JYW3W,G51066,MEX,18.45,-99.97,0,0.00025187002
10.18730/JY96F,G50985,MEX,16.9,-92.0,0,0.001707861
10.18730/JY9DP,G50986,MEX,16.9,-92.05,0,0.0014871462
10.18730/JXC28,G50931,MEX,19.0,-99.27,0,0.002917915
10.18730/JXBN*,G50932,MEX,19.02,-99.0,0,0.00089874613
10.18730/S5Q81,G50912A,MEX,17.18,-97.97,0,0.0011572195
10.18730/JWGVS,G50913,MEX,17.54,-96.55,0,0.023773238
10.18730/PFY1X,G50909,MEX,18.98,-98.99,0,0.00025837074
10.18730/JWGA8,G50907,MEX,19.0,-99.1,0,0.000751663
10.18730/S4ZSV,G50901B,MEX,18.93,-98.8,0,0.00035330487
10.18730/JWGFD,G50903,MEX,18.91,-98.77,0,0.00057524274
10.18730/JWG42,G50899,MEX,23.78,-105.37,0,0.018207513
10.18730/JY91A,G50893,MEX,16.4,-92.4,0,0.0020573882
10.18730/JVVXN,G50565,MEX,23.36,-100.32,0,0.0002811862
10.18730/JVX2N,G50437,MEX,23.79,-100.17,0,0.00064756797
10.18730/JVVYP,G50436,MEX,23.94,-99.79,0,0.00038907092
10.18730/JVTKG,G50433,MEX,24.34,-99.79,0,0.00042864625
10.18730/JVV2Z,G50434,MEX,23.49,-100.08,0,0.0006494596
10.18730/S2CKX,G50414B,MEX,20.2,-103.82,0,0.00031524748
10.18730/PHKR9,G50415,MEX,20.85,-98.72,0,0.015328153
10.18730/JYHV~,G50381,MEX,17.07,-96.27,0,0.0009773946
10.18730/JYHQX,G50374,MEX,17.07,-96.19,0,0.006179537
10.18730/PHNAP,G50075,MEX,16.5,-92.58,0,0.00016857043
10.18730/S5V9K,G50073B,MEX,17.26,-96.47,0,0.0024135858
10.18730/JGZE7,G4892,MEX,16.77,-93.39,0,0.00011856888
10.18730/JGZD6,G4891,MEX,19.64,-97.09,1,0.99201137
10.18730/JGZA3,G4888,MEX,20.66,-101.0,0,0.00023298408
10.18730/JGZXP,G4887,MEX,24.87,-105.09,0,0.00029399834
10.18730/JH23J,G4776,MEX,17.97,-94.88,0,0.021195434
10.18730/JH1ZE,G4772,MEX,23.21,-106.35,0,0.00049474824
10.18730/JH21G,G4774,MEX,19.06,-96.15,0,0.0021682088
10.18730/JH22H,G4775,MEX,17.96,-94.93,0,0.015015932
10.18730/JH1XC,G4770,MEX,17.26,-96.03,1,0.992307
10.18730/JH1YD,G4771,MEX,19.85,-97.49,1,0.99756265
10.18730/JH1WB,G4769,MEX,22.35,-103.22,0,0.00019131234
10.18730/S6SPY,G4768A,MEX,20.22,-104.49,0,0.0068239965
10.18730/JH26N,G4762,MEX,16.47,-91.82,1,0.957409
10.18730/JF7AR,G4492,MEX,19.5,-101.61,0,0.00026472553
10.18730/JF7N=,G4446,MEX,19.09,-98.0,0,0.00029338346
10.18730/JF89J,G4397,MEX,19.24,-98.22,0,0.00029037587
10.18730/JF8BM,G4399,MEX,23.74,-99.18,0,0.00058053393
10.18730/JF88H,G4396,MEX,19.32,-98.32,0,0.00025494784
10.18730/JF86F,G4394,MEX,19.45,-98.45,0,0.0004075065
10.18730/PE8KN,G4393,MEX,19.4,-98.05,0,0.00037227888
10.18730/JF8KW,G4388,MEX,19.3,-98.37,0,0.00024767264
10.18730/JF8HT,G4386,MEX,20.46,-97.32,0,0.01442204
10.18730/JF8FR,G4384,MEX,17.43,-95.05,0,0.006954638
10.18730/JF8GS,G4385,MEX,18.45,-95.3,0,0.022567587
10.18730/JF8Y2,G4380,MEX,18.82,-96.71,0,0.022428917
10.18730/K3GWG,G4375,MEX,16.3,-92.42,0,8.424399e-05
10.18730/JF8W0,G4378,MEX,18.89,-97.0,0,0.035527162
10.18730/JF8X1,G4379,MEX,18.93,-96.94,0,0.016364142
10.18730/JF96A,G4369,MEX,28.16,-106.84,0,0.00047100036
10.18730/JF9AE,G4363,MEX,26.83,-106.95,0,0.008115246
10.18730/JF926,G4364,MEX,28.17,-108.5,0,0.00040598132
10.18730/JF937,G4366,MEX,26.1,-106.99,1,0.6360369
10.18730/JF948,G4367,MEX,26.25,-106.97,0,0.0024786217
10.18730/JF9JP,G4361,MEX,26.85,-107.09,0,0.0066904356
10.18730/JF9HN,G4360,MEX,28.21,-105.57,0,0.00046832784
10.18730/JF9GM,G4359,MEX,28.54,-107.51,0,0.0004903759
10.18730/JF9EJ,G4357,MEX,19.77,-99.19,0,0.00018165975
10.18730/JF9FK,G4358,MEX,19.42,-100.11,0,0.0014675963
10.18730/JF9CG,G4355,MEX,19.94,-96.79,0,0.011844349
10.18730/JF9SX,G4347,MEX,19.6,-102.49,0,0.00016857446
10.18730/JF9NS,G4342,MEX,19.99,-102.7,0,0.00010472447
10.18730/JF9RW,G4346,MEX,19.99,-102.3,0,0.00023947352
10.18730/JF9PT,G4343,MEX,20.26,-102.57,0,0.00028417204
10.18730/JFA10,G4335,MEX,19.22,-101.72,0,0.00054896326
10.18730/JFA21,G4336,MEX,19.74,-101.19,0,0.00016679792
10.18730/JFAFE,G4329,MEX,20.41,-103.94,0,0.00024919616
10.18730/JFA76,G4330,MEX,21.6,-102.41,0,0.00027239553
10.18730/JF9Z=,G4333,MEX,20.83,-102.74,0,0.0005071242
10.18730/JFABA,G4325,MEX,23.0,-102.73,0,0.00035601342
10.18730/JFA87,G4321,MEX,22.79,-103.57,0,0.00016297275
10.18730/JFA98,G4322,MEX,22.85,-102.61,0,0.00022023961
10.18730/JFAGF,G4320,MEX,21.16,-103.47,0,0.00041574216
10.18730/JFAJH,G4312,MEX,19.06,-97.93,0,0.0003126641
10.18730/JFAHG,G4311,MEX,19.03,-97.96,0,0.00036366528
10.18730/JFARQ,G4310,MEX,19.16,-98.33,0,0.00032434493
10.18730/JFB0Z,G4309,MEX,20.14,-97.21,0,0.012428847
10.18730/JFAZY,G4308,MEX,18.58,-97.57,0,0.00036054844
10.18730/JFAXW,G4306,MEX,18.89,-97.71,0,0.00030697536
10.18730/JFBB5,G4292,MEX,21.16,-100.95,0,0.00022654602
10.18730/JFB4=,G4291,MEX,20.44,-101.74,0,0.00022513756
10.18730/JFB1*,G4288,MEX,16.12,-92.05,0,0.00046768476
10.18730/JFBE8,G4287,MEX,16.54,-92.68,0,0.00012078155
10.18730/JFBHB,G4279,MEX,22.2,-100.97,0,0.00044105656
10.18730/JFBJC,G4280,MEX,19.13,-97.63,0,0.00045860372
10.18730/JFBVN,G4274,MEX,16.75,-93.1,0,0.00014284941
10.18730/JFBYR,G4272,MEX,16.53,-92.48,0,0.010559527
10.18730/JFC1V,G4268,MEX,18.37,-97.25,0,0.00044951573
10.18730/K27DN,G4133,MEX,17.07,-96.67,0,0.000106581
10.18730/JRCJA,G4027,MEX,19.81,-99.11,0,0.00012334398
10.18730/JV0AT,G3948,MEX,17.98,-92.92,0,0.017307822
10.18730/K222=,G3587,MEX,19.8,-90.56,0,0.00049241626
10.18730/K21PQ,G3585,MEX,20.75,-100.43,0,0.00014910781
10.18730/K21CD,G3583,MEX,19.89,-98.83,0,0.00029046807
10.18730/K21Z*,G3582,MEX,20.16,-98.72,0,0.0005622569
10.18730/K21YZ,G3581,MEX,20.51,-99.22,0,0.00048338142
10.18730/K21RS,G3575,MEX,20.71,-99.44,0,0.0002814678
10.18730/K21MN,G3571,MEX,17.34,-96.49,0,0.0016106579
10.18730/K21JK,G3569,MEX,16.83,-96.66,0,0.00012489157
10.18730/K21EF,G3565,MEX,17.97,-97.02,0,0.00051742553
10.18730/K2145,G3553,MEX,22.76,-98.99,0,0.00079287903
10.18730/K20Z0,G3547,MEX,24.41,-104.31,0,0.000185248
10.18730/K20X=,G3545,MEX,17.21,-100.42,0,0.00022995289
10.18730/K20V~,G3543,MEX,17.97,-101.81,0,0.00055232464
10.18730/K20GP,G3542,MEX,19.68,-100.03,0,0.001282871
10.18730/K20QX,G3539,MEX,19.32,-97.72,0,0.00027126813
10.18730/K20KS,G3535,MEX,19.33,-98.27,0,0.0001335832
10.18730/K1ZX3,G3531,MEX,18.78,-96.92,0,0.010138391
10.18730/K20FN,G3530,MEX,18.5,-96.27,0,0.0014405437
10.18730/K20EM,G3529,MEX,20.49,-97.11,0,0.04439725
10.18730/K20DK,G3528,MEX,20.2,-96.77,0,0.03222064
10.18730/K1ZKY,G3521,MEX,21.34,-97.76,0,0.008897506
10.18730/K205B,G3511,MEX,16.52,-92.74,0,0.00013423711
10.18730/K1ZCQ,G3493,MEX,26.76,-107.62,0,0.00056551525
10.18730/K1YN0,G3488,MEX,19.39,-100.15,0,0.0008719395
10.18730/K1Z5G,G3484,MEX,20.54,-103.44,0,0.00026340378
10.18730/K1YR3,G3470,MEX,19.44,-100.39,0,0.00018927258
10.18730/K1YQ2,G3469,MEX,19.24,-101.47,0,0.00016845379
10.18730/K1YK=,G3456,MEX,20.87,-103.86,0,0.00037655013
10.18730/K1XQ7,G3454,MEX,20.32,-102.76,0,0.0004833169
10.18730/K1Y2J,G3446,MEX,20.26,-100.94,0,0.0005162179
10.18730/K1XTA,G3437,MEX,23.67,-102.98,0,0.00023645393
