DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE
10.18730/JM9YB,G18785,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TUXTLA GUTIERREZ - TUXTLA GUTIERREZ - CHIAPAS,16.75,-93.12,900.0,19781001.0
10.18730/JM9W9,G18783,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S40DP,G18781A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S1TD2,G18781B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/JM9V8,G18782,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S38JU,G18780E,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/PG23B,G18781,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S2HC$,G18780D,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S4Q38,G18780C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S38K0,G18780A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S5EZ*,G18780B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
