DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,COLLSRC
10.18730/JKHE4,G16664,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,DASHT SAR AMOL - AMOL - MAZANDARAN,36.5,52.35,,19780101.0,40.0
10.18730/JK9MD,G16455,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,BAM - KHORASAN,34.37,57.12,,19780101.0,40.0
10.18730/JKA3W,G16456,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,MAHAN - KERMAN,30.05,57.28,,19780101.0,40.0
10.18730/JK9E7,G16458,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,ZARAND - QAZVIN,36.49,49.15,,19780101.0,40.0
10.18730/JK9A3,G16454,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,MEYAMEY - KHORASAN,36.25,60.12,,19780101.0,40.0
10.18730/JK9QG,G16449,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,MASHAD - MARKAZI,34.03,51.02,,19780101.0,40.0
10.18730/JK8XV,G16447,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,GONBAD-E QABUS - GOLESTAN,37.25,55.15,,19780101.0,40.0
10.18730/JK736,G14841,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,GOODAR OJ - GODAR - MARKAZI,33.68,50.33,,19780101.0,40.0
10.18730/JNEE*,G14491,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,GURGAN - COLESTAN,36.84,54.49,,19700901.0,40.0
10.18730/JKTE~,G14161,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,MAZANDARAN - MAZANDARAN,36.5,53.5,,19780101.0,40.0
10.18730/JKTBY,G14160,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,YAZD - YAZD,31.89,54.41,,19780101.0,40.0
10.18730/JKR91,G14124,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,LORESTAN - LORESTAN,33.5,48.5,,19780101.0,40.0
10.18730/K07TN,G1409,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,KAZERUN - FARS,29.63,51.65,,19700901.0,40.0
10.18730/JK7JN,G14078,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,ARDAKAN - FARS,30.27,52.02,,19780101.0,40.0
10.18730/JK7RV,G14075,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,MALAYER - HAMADAN,34.32,48.83,,19780101.0,40.0
10.18730/K086~,G1403,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,KERMAN - KERMAN,30.28,57.08,,19700901.0,40.0
10.18730/JZXY1,G1009,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,BABOL - MAZANDARAN,36.57,52.7,,19700901.0,40.0
10.18730/JZY8B,G1007,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,NEAR AB'ALI - TEHRAN - MARKAZI,35.77,51.97,,19700901.0,40.0
10.18730/K4JHM,G5555,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,RAFSANJAN - KERMAN,30.4,56.0,,19780101.0,40.0
10.18730/JRGZ3,G9996,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0,40.0
10.18730/PGDJ8,G9998,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,LAGO CHAPALA - CHAPALA - JALISCO,20.3,-103.2,,19770601.0,40.0
10.18730/JRGW0,G9991,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",20.12,-104.37,,19770601.0,40.0
10.18730/JRH37,G9993,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,CERRO DE LAS GALLINAS - CHURINTZIO - MICHOACAN,20.13,-102.08,,19770601.0,40.0
10.18730/S2N68,G9989C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",20.5,-104.82,1400.0,19770601.0,40.0
10.18730/PMPZ2,G9988,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,200,19770601,MEX,RANCHO CARACOL - ARANDAS - JALISCO,20.67,-102.45,,19770601.0,40.0
