DOI,ACCENUMB,ORIGCTY,DECLATITUDE,DECLONGITUDE,Pred_Resistencia,Probabilidad_Resistencia
10.18730/JKT8V,G17003,IRN,28.67,57.77,0,4.4152883e-05
10.18730/JKT4Q,G17000,IRN,33.99,51.49,0,3.5388668e-05
10.18730/JKT5R,G17001,IRN,37.25,49.94,0,0.008907468
10.18730/JKSA$,G16990,IRN,38.92,46.83,0,8.505799e-05
10.18730/JKS5X,G16988,IRN,38.31,46.81,0,2.8496654e-05
10.18730/JKRZQ,G16984,IRN,37.94,47.56,0,3.3622917e-05
10.18730/JKR80,G16974,IRN,38.4,48.86,0,0.0006788183
10.18730/JNEM1,G16804,IRN,34.81,48.48,0,3.541436e-05
10.18730/JKJQ8,G16704,IRN,36.25,50.01,0,3.095214e-05
10.18730/JKJK4,G16699,IRN,30.25,51.99,0,4.5427187e-05
10.18730/JKJG1,G16697,IRN,36.76,57.74,0,3.3855216e-05
10.18730/JKJ5V,G16686,IRN,35.34,47.0,0,3.8278395e-05
10.18730/JKHE4,G16664,IRN,36.5,52.35,0,0.00044554743
10.18730/JK9MD,G16455,IRN,34.37,57.12,0,3.7005582e-05
10.18730/JKA3W,G16456,IRN,30.05,57.28,0,3.5420406e-05
10.18730/JK9E7,G16458,IRN,36.49,49.15,0,3.8269856e-05
10.18730/JK9A3,G16454,IRN,36.25,60.12,0,3.4862638e-05
10.18730/JK9QG,G16449,IRN,34.03,51.02,0,3.2984055e-05
10.18730/JK8XV,G16447,IRN,37.25,55.15,0,5.7170033e-05
10.18730/JK736,G14841,IRN,33.68,50.33,0,4.7334343e-05
10.18730/JNEE*,G14491,IRN,36.84,54.49,0,8.544251e-05
10.18730/JKTE~,G14161,IRN,36.5,53.5,0,0.0001067812
10.18730/JKTBY,G14160,IRN,31.89,54.41,0,3.985069e-05
10.18730/JKR91,G14124,IRN,33.5,48.5,0,4.880265e-05
10.18730/K07TN,G1409,IRN,29.63,51.65,0,4.018798e-05
10.18730/JK7JN,G14078,IRN,30.27,52.02,0,5.116955e-05
10.18730/JK7RV,G14075,IRN,34.32,48.83,0,4.6905352e-05
10.18730/K086~,G1403,IRN,30.28,57.08,0,4.664232e-05
10.18730/JZXY1,G1009,IRN,36.57,52.7,0,0.0005759773
10.18730/JZY8B,G1007,IRN,35.77,51.97,0,2.8137285e-05
10.18730/K4JHM,G5555,IRN,30.4,56.0,0,4.3846663e-05
10.18730/JRGZ3,G9996,MEX,20.43,-104.7,0,0.00022054873
10.18730/PGDJ8,G9998,MEX,20.3,-103.2,0,6.0089067e-05
10.18730/JRGW0,G9991,MEX,20.12,-104.37,0,5.0769908e-05
10.18730/JRH37,G9993,MEX,20.13,-102.08,0,3.4354285e-05
10.18730/S2N68,G9989C,MEX,20.5,-104.82,0,0.0012415218
10.18730/PMPZ2,G9988,MEX,20.67,-102.45,0,4.1054394e-05
10.18730/K3BAQ,G9978,MEX,23.21,-106.24,0,4.6831876e-05
10.18730/K3B8N,G9976,MEX,20.23,-98.0,1,0.9991084
10.18730/K3B7M,G9975,MEX,19.81,-97.79,0,9.584168e-05
10.18730/K3A8T,G9941,MEX,21.64,-102.97,0,4.5594148e-05
10.18730/K3A1K,G9932,MEX,21.86,-102.72,0,3.8429196e-05
10.18730/K39YG,G9928,MEX,20.52,-97.38,1,0.6545386
10.18730/K39G2,G9912,MEX,20.77,-97.28,0,0.007474756
10.18730/K399*,G9905,MEX,18.8,-97.18,0,0.00028228774
10.18730/K39B$,G9907,MEX,19.05,-98.18,0,6.209827e-05
10.18730/K396X,G9902,MEX,21.54,-104.9,0,0.00024676495
10.18730/K394V,G9900,MEX,18.75,-97.32,0,0.00010242646
10.18730/K393T,G9899,MEX,18.64,-97.39,0,4.44004e-05
10.18730/K3Q4Z,G9898,MEX,18.84,-97.1,0,0.002202694
10.18730/K38B2,G9870,MEX,19.4,-99.15,0,4.3738874e-05
10.18730/K411F,G985A,MEX,16.27,-92.13,0,6.576128e-05
10.18730/K3GJ6,G9830,MEX,20.35,-101.97,0,3.5490262e-05
10.18730/JNX2K,G9828,MEX,21.35,-102.81,0,3.3296237e-05
10.18730/JNX3M,G9829,MEX,20.46,-103.17,0,8.158333e-05
10.18730/JNWB~,G9823,MEX,21.26,-102.77,0,3.126932e-05
10.18730/S5C3E,G9820A,MEX,21.19,-102.9,0,3.5541405e-05
10.18730/JNVQD,G9818,MEX,21.46,-102.59,0,2.8625376e-05
10.18730/K37B7,G9819,MEX,21.53,-102.43,0,2.6212754e-05
10.18730/JNVVH,G9812,MEX,21.37,-101.92,0,2.579535e-05
10.18730/K37A6,G9810,MEX,21.89,-102.33,0,2.6103467e-05
10.18730/JNGMW,G9800,MEX,22.79,-102.59,0,3.719639e-05
10.18730/JNT83,G9784,MEX,22.38,-102.88,0,3.7520767e-05
10.18730/K3E0=,G9785,MEX,21.43,-103.12,0,4.204673e-05
10.18730/K373U,G9783,MEX,21.8,-103.46,0,2.964525e-05
10.18730/JNRV*,G9743,MEX,20.55,-102.52,0,4.5275472e-05
10.18730/JNRQW,G9740,MEX,20.35,-102.0,0,2.822958e-05
10.18730/JNREK,G9735,MEX,20.69,-101.47,0,2.8232245e-05
10.18730/K3Q2X,G9720,MEX,20.41,-100.0,0,3.1498246e-05
10.18730/JNQQ~,G9716,MEX,19.96,-99.86,0,2.7834187e-05
10.18730/JNQAM,G9714,MEX,17.65,-99.55,0,4.3246684e-05
10.18730/JNNS8,G9676,MEX,20.92,-97.68,0,0.00033733578
10.18730/JNNAY,G9664,MEX,20.07,-97.05,1,0.9944852
10.18730/K35MT,G9654,MEX,20.13,-102.11,0,4.1979583e-05
10.18730/K35NV,G9655,MEX,21.02,-102.4,0,3.2692944e-05
10.18730/K35QX,G9657,MEX,19.15,-96.95,1,0.9952053
10.18730/K35KS,G9653,MEX,20.34,-102.3,0,3.6915982e-05
10.18730/JH6WQ,G9612,MEX,20.0,-102.34,0,3.701197e-05
10.18730/JZ3RE,G95,MEX,19.56,-99.28,0,3.1954583e-05
10.18730/JZWEV,G939,MEX,19.83,-97.36,0,0.0017868596
10.18730/JZW4H,G938,MEX,16.75,-96.74,0,3.5716454e-05
10.18730/JZW0D,G937,MEX,19.54,-103.76,0,8.613156e-05
10.18730/JZWBR,G936,MEX,20.21,-99.59,0,2.53867e-05
10.18730/JZWAQ,G935,MEX,16.74,-92.03,1,0.9904174
10.18730/JZW9P,G934,MEX,19.24,-99.61,0,8.578867e-05
10.18730/JZW8N,G933,MEX,19.53,-98.89,0,3.564639e-05
10.18730/JZW7M,G932,MEX,19.49,-98.89,0,3.295205e-05
10.18730/K32FU,G9284,MEX,19.75,-97.25,0,0.0001932388
10.18730/K32E=,G9283,MEX,16.67,-96.11,0,3.912207e-05
10.18730/JZVYB,G915,MEX,19.69,-103.49,0,5.600945e-05
10.18730/JZ46W,G91,MEX,20.01,-97.86,1,0.9916905
10.18730/K30WP,G9075,MEX,16.84,-99.83,0,0.0003826064
10.18730/K30JC,G8932,MEX,24.74,-104.45,0,3.9085153e-05
10.18730/K30HB,G8931,MEX,19.67,-99.19,0,3.9855477e-05
10.18730/K30F9,G8929,MEX,22.79,-102.61,0,3.4144436e-05
10.18730/K30D7,G8927,MEX,23.19,-102.91,0,2.686557e-05
10.18730/K30A4,G8924,MEX,19.84,-98.99,0,3.1143587e-05
10.18730/K30B5,G8925,MEX,19.8,-98.98,0,2.9964644e-05
10.18730/K3082,G8922,MEX,19.3,-99.67,0,5.327614e-05
10.18730/K3093,G8923,MEX,19.25,-98.89,0,3.7492082e-05
10.18730/K304=,G8918,MEX,21.89,-101.6,0,3.0513547e-05
10.18730/K305U,G8919,MEX,19.25,-99.65,0,9.3193645e-05
10.18730/K302~,G8915,MEX,20.69,-103.47,0,5.3837786e-05
10.18730/K301*,G8914,MEX,21.28,-102.34,0,3.061612e-05
10.18730/K300Z,G8913,MEX,20.04,-100.72,0,2.809358e-05
10.18730/K2ZXW,G8910,MEX,24.05,-104.55,0,3.566305e-05
10.18730/K2ZZY,G8912,MEX,25.37,-105.75,0,3.5861845e-05
10.18730/K2ZYX,G8911,MEX,24.03,-104.55,0,3.846469e-05
10.18730/K2ZWV,G8909,MEX,24.46,-104.11,0,4.0554878e-05
10.18730/K2ZVT,G8908,MEX,24.53,-104.78,0,3.8317037e-05
10.18730/K2ZSR,G8906,MEX,23.73,-103.99,0,4.4244684e-05
10.18730/K2ZRQ,G8905,MEX,24.52,-104.74,0,4.579237e-05
10.18730/K2ZQP,G8904,MEX,23.84,-104.24,0,4.225918e-05
10.18730/K2ZPN,G8903,MEX,24.4,-104.34,0,4.3390814e-05
10.18730/K2ZKJ,G8900,MEX,22.24,-102.32,0,2.84001e-05
10.18730/K2ZA9,G8858,MEX,20.38,-99.66,0,3.1299216e-05
10.18730/K2ZBA,G8859,MEX,20.05,-102.74,0,4.411778e-05
10.18730/JZTM6,G880,MEX,20.12,-98.73,0,1.7697726e-05
10.18730/JZTQ9,G874,MEX,17.05,-96.72,0,3.0046596e-05
10.18730/JZTK5,G869,MEX,18.35,-99.53,0,0.00010093947
10.18730/JZTE0,G864,MEX,19.32,-97.93,0,5.0328115e-05
10.18730/JZTDU,G863,MEX,27.02,-108.93,0,4.96085e-05
10.18730/JZT9*,G859,MEX,17.8,-97.77,0,3.346253e-05
10.18730/JZT8Z,G858,MEX,17.05,-96.67,0,2.5981897e-05
10.18730/JZSYN,G848,MEX,20.14,-98.75,0,2.6849664e-05
10.18730/JZSWK,G846,MEX,20.19,-98.06,1,0.9933356
10.18730/JZSRF,G842,MEX,20.11,-98.37,0,3.1728363e-05
10.18730/JZSNC,G839,MEX,19.43,-98.17,0,4.68863e-05
10.18730/K2HNG,G8238,MEX,19.79,-101.55,0,3.8374925e-05
10.18730/K2HJD,G8235,MEX,19.03,-98.33,0,4.920097e-05
10.18730/JZS1X,G819,MEX,19.78,-104.37,0,7.6695724e-05
10.18730/JZRPJ,G817,MEX,22.0,-105.0,0,0.00050658087
10.18730/JZRD9,G816,MEX,19.42,-102.07,0,4.5039826e-05
10.18730/K2FTZ,G8146,MEX,18.87,-97.38,0,3.3226774e-05
10.18730/JZRHD,G802,MEX,18.88,-96.93,1,0.97395295
10.18730/K2F05,G7971,MEX,22.18,-102.35,0,3.171977e-05
10.18730/K2ES=,G7960,MEX,16.79,-96.47,0,3.233957e-05
10.18730/K2EQ~,G7956,MEX,25.08,-103.75,0,4.2562107e-05
10.18730/K2ENZ,G7953,MEX,16.91,-96.36,0,3.6389418e-05
10.18730/K2EMY,G7952,MEX,17.07,-96.72,0,2.9562027e-05
10.18730/K2DY8,G7887,MEX,19.85,-102.1,0,2.9960587e-05
10.18730/K2DV5,G7884,MEX,20.96,-100.75,0,3.0147941e-05
10.18730/K2DW6,G7885,MEX,20.46,-101.55,0,2.7510547e-05
10.18730/K2C4R,G7810,MEX,18.97,-97.93,0,4.7172027e-05
10.18730/K2C1N,G7807,MEX,20.22,-101.14,0,5.1273004e-05
10.18730/K2BYJ,G7804,MEX,16.54,-92.82,0,8.059603e-05
10.18730/K2C3Q,G7809,MEX,20.22,-100.37,0,2.4126044e-05
10.18730/K2C0M,G7806,MEX,20.63,-101.15,0,4.0181196e-05
10.18730/K2BXH,G7803,MEX,22.14,-102.27,0,2.8392436e-05
10.18730/K2BWG,G7802,MEX,18.42,-97.44,0,4.7894697e-05
10.18730/S2E33,G7760B,MEX,17.25,-96.8,0,2.9797344e-05
10.18730/K2ASJ,G7762,MEX,17.77,-97.79,0,3.693563e-05
10.18730/K2ARH,G7761,MEX,17.25,-96.89,0,3.097e-05
10.18730/K2AHA,G7753,MEX,21.08,-104.36,0,0.0002349263
10.18730/K3PYS,G7752,MEX,18.93,-99.23,0,0.00015153472
10.18730/K2AG9,G7751,MEX,18.41,-99.99,0,0.00025953632
10.18730/K2AB4,G7746,MEX,19.32,-103.6,0,4.3595e-05
10.18730/K2AC5,G7747,MEX,19.32,-103.76,0,4.7192232e-05
10.18730/K2AD6,G7748,MEX,18.19,-99.39,0,5.980181e-05
10.18730/K2A92,G7744,MEX,15.02,-92.37,0,0.031054476
10.18730/K2AA3,G7745,MEX,16.71,-93.72,0,5.6052086e-05
10.18730/K2A81,G7743,MEX,16.75,-93.12,0,7.982488e-05
10.18730/K2A6U,G7741,MEX,16.77,-92.63,0,0.00025994197
10.18730/K2A5=,G7740,MEX,16.25,-92.13,0,0.00012230397
10.18730/S2E00,G7479K,MEX,18.32,-99.82,0,6.820841e-05
10.18730/JFJ62,G7118,MEX,19.05,-98.42,0,4.3693144e-05
10.18730/JFK4*,G7094,MEX,25.53,-103.47,0,3.6621237e-05
10.18730/JFNW9,G6992,MEX,20.52,-100.95,0,2.802417e-05
10.18730/JFTD6,G6795,MEX,19.31,-100.44,0,4.9880364e-05
10.18730/JFV1T,G6794,MEX,20.93,-101.42,0,2.9947847e-05
10.18730/JFTZR,G6792,MEX,20.59,-100.84,0,3.071271e-05
10.18730/JFTYQ,G6791,MEX,20.24,-100.86,0,2.9759802e-05
10.18730/JFV8~,G6782,MEX,18.74,-98.97,0,4.6399735e-05
10.18730/S3WC4,G6777A,MEX,18.9,-99.15,0,4.740793e-05
10.18730/JFV4X,G6778,MEX,18.59,-98.86,0,4.9926522e-05
10.18730/JFV7*,G6781,MEX,18.76,-98.99,0,4.6520203e-05
10.18730/JFV2V,G6775,MEX,18.62,-99.19,0,5.888955e-05
10.18730/JFVH5,G6772,MEX,19.2,-103.72,0,5.5447457e-05
10.18730/JFVE2,G6768,MEX,16.33,-95.23,0,0.00010010189
10.18730/JFVQB,G6757,MEX,22.51,-105.37,0,0.00025044952
10.18730/JFW3Q,G6750,MEX,16.65,-93.8,0,6.278607e-05
10.18730/JFW2P,G6749,MEX,15.69,-93.22,0,0.010977734
10.18730/JFW0M,G6747,MEX,16.22,-93.92,0,0.0007986588
10.18730/JFXCV,G6524,MEX,-8.07,-35.01,0,0.09853516
10.18730/JFYJW,G6463,MEX,14.92,-92.27,1,0.96581954
10.18730/JFYW1,G6452,MEX,15.32,-92.67,0,0.007786082
10.18730/JFZCH,G6445,MEX,16.85,-93.22,0,0.00014964551
10.18730/JFZX$,G6422,MEX,23.44,-100.78,0,4.643727e-05
10.18730/JFZTZ,G6419,MEX,18.83,-96.39,0,0.00046205247
10.18730/JG0DD,G6387,MEX,22.57,-102.22,0,2.345223e-05
10.18730/JG0CC,G6386,MEX,18.88,-99.15,0,4.268987e-05
10.18730/JG67E,G6144,MEX,18.38,-95.3,0,0.052202597
10.18730/JG63A,G6140,MEX,21.99,-99.03,0,0.0020466002
10.18730/JG6EN,G6131,MEX,16.58,-95.11,0,0.0001344695
10.18730/JG6AH,G6127,MEX,20.36,-99.64,0,2.8793373e-05
10.18730/JG69G,G6126,MEX,19.43,-97.61,0,3.4411663e-05
10.18730/JG6S*,G6123,MEX,21.49,-101.24,0,2.6867901e-05
10.18730/JG6T~,G6124,MEX,21.14,-100.91,0,2.8827604e-05
10.18730/JG6RZ,G6122,MEX,20.4,-101.23,0,2.9894487e-05
10.18730/JG6QY,G6121,MEX,20.53,-100.79,0,2.7593629e-05
10.18730/JG6MV,G6118,MEX,15.42,-92.12,0,0.028487442
10.18730/JG6KT,G6117,MEX,15.47,-92.15,1,0.5281078
10.18730/JG713,G6113,MEX,16.11,-93.75,0,0.00044935592
10.18730/JG702,G6112,MEX,15.2,-92.43,1,0.9253573
10.18730/K3CT$,G6104,MEX,19.21,-99.57,0,7.02096e-05
10.18730/JG7CE,G6105,MEX,16.24,-93.24,0,0.00013609044
10.18730/JGC4J,G5902,MEX,18.13,-93.02,1,0.940128
10.18730/JGCQ0,G5889,MEX,25.92,-109.19,0,4.7808815e-05
10.18730/JGFJH,G5764,MEX,19.28,-99.67,0,5.033651e-05
10.18730/JGFSR,G5759,MEX,18.38,-99.87,0,8.898736e-05
10.18730/JGGGA,G5691,MEX,19.5,-97.49,0,3.120992e-05
10.18730/JGGE8,G5687,MEX,20.97,-101.44,0,2.481439e-05
10.18730/JGHE3,G5625,MEX,18.81,-98.97,0,4.2571646e-05
10.18730/JGJG0,G5516,MEX,16.81,-96.68,0,5.4738313e-05
10.18730/JGP01,G5297,MEX,21.12,-101.74,0,2.594805e-05
10.18730/JGSJ4,G5143,MEX,18.44,-95.19,1,0.9763826
10.18730/JGSH3,G5142,MEX,21.02,-101.28,0,3.6019715e-05
10.18730/JGSG2,G5141,MEX,19.44,-102.09,0,5.6591758e-05
10.18730/PHBQB,G51360,MEX,18.98,-98.93,0,4.049633e-05
10.18730/K3WY*,G51339,MEX,23.46,-103.89,0,3.7877402e-05
10.18730/JYWC0,G51069,MEX,18.45,-100.0,0,0.00028909967
10.18730/JYW6Z,G51068,MEX,18.43,-100.17,0,0.00012529128
10.18730/JYW5Y,G51067,MEX,18.45,-100.02,0,8.0976366e-05
10.18730/JYW3W,G51066,MEX,18.45,-99.97,0,9.705403e-05
10.18730/JY96F,G50985,MEX,16.9,-92.0,1,0.99707687
10.18730/JY9DP,G50986,MEX,16.9,-92.05,1,0.994662
10.18730/JXC28,G50931,MEX,19.0,-99.27,0,0.00063890545
10.18730/JXBN*,G50932,MEX,19.02,-99.0,0,0.000104293365
10.18730/S5Q81,G50912A,MEX,17.18,-97.97,0,0.0018142237
10.18730/JWGVS,G50913,MEX,17.54,-96.55,0,0.0037325325
10.18730/PFY1X,G50909,MEX,18.98,-98.99,0,4.572085e-05
10.18730/JWGA8,G50907,MEX,19.0,-99.1,0,0.00014597541
10.18730/S4ZSV,G50901B,MEX,18.93,-98.8,0,7.89234e-05
10.18730/JWGFD,G50903,MEX,18.91,-98.77,0,8.203839e-05
10.18730/JWG42,G50899,MEX,23.78,-105.37,0,0.0002214413
10.18730/JY91A,G50893,MEX,16.4,-92.4,0,0.00021103129
10.18730/JVVXN,G50565,MEX,23.36,-100.32,0,3.4998113e-05
10.18730/JVX2N,G50437,MEX,23.79,-100.17,0,3.0857413e-05
10.18730/JVVYP,G50436,MEX,23.94,-99.79,0,5.219609e-05
10.18730/JVTKG,G50433,MEX,24.34,-99.79,0,3.447453e-05
10.18730/JVV2Z,G50434,MEX,23.49,-100.08,0,4.7887435e-05
10.18730/S2CKX,G50414B,MEX,20.2,-103.82,0,0.00014049499
10.18730/PHKR9,G50415,MEX,20.85,-98.72,0,0.0025809729
10.18730/JYHV~,G50381,MEX,17.07,-96.27,0,6.646335e-05
10.18730/JYHQX,G50374,MEX,17.07,-96.19,0,0.010458796
10.18730/PHNAP,G50075,MEX,16.5,-92.58,0,0.00038082493
10.18730/S5V9K,G50073B,MEX,17.26,-96.47,0,0.000107300846
10.18730/JGZE7,G4892,MEX,16.77,-93.39,0,7.012048e-05
10.18730/JGZD6,G4891,MEX,19.64,-97.09,0,0.00037808638
10.18730/JGZA3,G4888,MEX,20.66,-101.0,0,2.7346829e-05
10.18730/JGZXP,G4887,MEX,24.87,-105.09,0,4.4851364e-05
10.18730/JH23J,G4776,MEX,17.97,-94.88,0,0.060333446
10.18730/JH1ZE,G4772,MEX,23.21,-106.35,0,5.6995894e-05
10.18730/JH21G,G4774,MEX,19.06,-96.15,0,0.00034720855
10.18730/JH22H,G4775,MEX,17.96,-94.93,0,0.012415527
10.18730/JH1XC,G4770,MEX,17.26,-96.03,1,0.9956162
10.18730/JH1YD,G4771,MEX,19.85,-97.49,0,0.00045866825
10.18730/JH1WB,G4769,MEX,22.35,-103.22,0,2.8882998e-05
10.18730/S6SPY,G4768A,MEX,20.22,-104.49,0,0.00080511445
10.18730/JH26N,G4762,MEX,16.47,-91.82,1,0.74466264
10.18730/JF7AR,G4492,MEX,19.5,-101.61,0,4.5043693e-05
10.18730/JF7N=,G4446,MEX,19.09,-98.0,0,3.1245265e-05
10.18730/JF89J,G4397,MEX,19.24,-98.22,0,4.7351725e-05
10.18730/JF8BM,G4399,MEX,23.74,-99.18,0,0.00017513683
10.18730/JF88H,G4396,MEX,19.32,-98.32,0,4.270086e-05
10.18730/JF86F,G4394,MEX,19.45,-98.45,0,4.065424e-05
10.18730/PE8KN,G4393,MEX,19.4,-98.05,0,3.9003906e-05
10.18730/JF8KW,G4388,MEX,19.3,-98.37,0,4.7206096e-05
10.18730/JF8HT,G4386,MEX,20.46,-97.32,1,0.9896361
10.18730/JF8FR,G4384,MEX,17.43,-95.05,1,0.97164166
10.18730/JF8GS,G4385,MEX,18.45,-95.3,1,0.9812183
10.18730/JF8Y2,G4380,MEX,18.82,-96.71,1,0.998716
10.18730/K3GWG,G4375,MEX,16.3,-92.42,0,0.00020817605
10.18730/JF8W0,G4378,MEX,18.89,-97.0,1,0.58030385
10.18730/JF8X1,G4379,MEX,18.93,-96.94,1,0.9594911
10.18730/JF96A,G4369,MEX,28.16,-106.84,0,3.550292e-05
10.18730/JF9AE,G4363,MEX,26.83,-106.95,0,6.503251e-05
10.18730/JF926,G4364,MEX,28.17,-108.5,0,5.2457468e-05
10.18730/JF937,G4366,MEX,26.1,-106.99,0,0.00012317146
10.18730/JF948,G4367,MEX,26.25,-106.97,0,0.00012040817
10.18730/JF9JP,G4361,MEX,26.85,-107.09,0,0.00024328039
10.18730/JF9HN,G4360,MEX,28.21,-105.57,0,3.4864763e-05
10.18730/JF9GM,G4359,MEX,28.54,-107.51,0,2.78353e-05
10.18730/JF9EJ,G4357,MEX,19.77,-99.19,0,3.193902e-05
10.18730/JF9FK,G4358,MEX,19.42,-100.11,0,6.4234526e-05
10.18730/JF9CG,G4355,MEX,19.94,-96.79,1,0.9987147
10.18730/JF9SX,G4347,MEX,19.6,-102.49,0,4.3584194e-05
10.18730/JF9NS,G4342,MEX,19.99,-102.7,0,4.5359095e-05
10.18730/JF9RW,G4346,MEX,19.99,-102.3,0,3.2829317e-05
10.18730/JF9PT,G4343,MEX,20.26,-102.57,0,4.6718123e-05
10.18730/JFA10,G4335,MEX,19.22,-101.72,0,0.00011766378
10.18730/JFA21,G4336,MEX,19.74,-101.19,0,3.0995645e-05
10.18730/JFAFE,G4329,MEX,20.41,-103.94,0,4.2097483e-05
10.18730/JFA76,G4330,MEX,21.6,-102.41,0,2.4846307e-05
10.18730/JF9Z=,G4333,MEX,20.83,-102.74,0,5.6208602e-05
10.18730/JFABA,G4325,MEX,23.0,-102.73,0,4.198863e-05
10.18730/JFA87,G4321,MEX,22.79,-103.57,0,4.842953e-05
10.18730/JFA98,G4322,MEX,22.85,-102.61,0,3.879713e-05
10.18730/JFAGF,G4320,MEX,21.16,-103.47,0,7.4161195e-05
10.18730/JFAJH,G4312,MEX,19.06,-97.93,0,4.074743e-05
10.18730/JFAHG,G4311,MEX,19.03,-97.96,0,4.7662143e-05
10.18730/JFARQ,G4310,MEX,19.16,-98.33,0,5.3457723e-05
10.18730/JFB0Z,G4309,MEX,20.14,-97.21,1,0.9966
10.18730/JFAZY,G4308,MEX,18.58,-97.57,0,4.1032516e-05
10.18730/JFAXW,G4306,MEX,18.89,-97.71,0,5.5224402e-05
10.18730/JFBB5,G4292,MEX,21.16,-100.95,0,3.0365674e-05
10.18730/JFB4=,G4291,MEX,20.44,-101.74,0,2.5479423e-05
10.18730/JFB1*,G4288,MEX,16.12,-92.05,0,7.94495e-05
10.18730/JFBE8,G4287,MEX,16.54,-92.68,0,7.7199686e-05
10.18730/JFBHB,G4279,MEX,22.2,-100.97,0,3.065182e-05
10.18730/JFBJC,G4280,MEX,19.13,-97.63,0,4.0085743e-05
10.18730/JFBVN,G4274,MEX,16.75,-93.1,0,8.5460844e-05
10.18730/JFBYR,G4272,MEX,16.53,-92.48,0,0.00013071307
10.18730/JFC1V,G4268,MEX,18.37,-97.25,0,4.8748552e-05
10.18730/K27DN,G4133,MEX,17.07,-96.67,0,2.6372778e-05
10.18730/JRCJA,G4027,MEX,19.81,-99.11,0,2.9379458e-05
10.18730/JV0AT,G3948,MEX,17.98,-92.92,1,0.9844722
10.18730/K222=,G3587,MEX,19.8,-90.56,0,0.00012750093
10.18730/K21PQ,G3585,MEX,20.75,-100.43,0,3.4230245e-05
10.18730/K21CD,G3583,MEX,19.89,-98.83,0,2.7594444e-05
10.18730/K21Z*,G3582,MEX,20.16,-98.72,0,3.0919447e-05
10.18730/K21YZ,G3581,MEX,20.51,-99.22,0,3.5386776e-05
10.18730/K21RS,G3575,MEX,20.71,-99.44,0,2.6668711e-05
10.18730/K21MN,G3571,MEX,17.34,-96.49,0,0.00010496752
10.18730/K21JK,G3569,MEX,16.83,-96.66,0,4.1331692e-05
10.18730/K21EF,G3565,MEX,17.97,-97.02,0,5.929228e-05
10.18730/K2145,G3553,MEX,22.76,-98.99,0,0.0005760833
10.18730/K20Z0,G3547,MEX,24.41,-104.31,0,4.3575383e-05
10.18730/K20X=,G3545,MEX,17.21,-100.42,0,7.389711e-05
10.18730/K20V~,G3543,MEX,17.97,-101.81,0,6.1202605e-05
10.18730/K20GP,G3542,MEX,19.68,-100.03,0,3.086445e-05
10.18730/K20QX,G3539,MEX,19.32,-97.72,0,3.320327e-05
10.18730/K20KS,G3535,MEX,19.33,-98.27,0,4.2352014e-05
10.18730/K1ZX3,G3531,MEX,18.78,-96.92,1,0.9965869
10.18730/K20FN,G3530,MEX,18.5,-96.27,0,0.0017699541
