ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G2168,0,0,0.014,RandomForest,Anegamiento
G313,0,0,0.0,RandomForest,Anegamiento
G1467,0,0,0.002,RandomForest,Anegamiento
G3547,0,0,0.0,RandomForest,Anegamiento
G51656A,1,1,0.988,RandomForest,Anegamiento
G8859,0,0,0.0,RandomForest,Anegamiento
G13897,0,0,0.222,RandomForest,Anegamiento
G11558,1,1,0.94,RandomForest,Anegamiento
G13933,1,0,0.47,RandomForest,Anegamiento
G2904,1,1,0.882,RandomForest,Anegamiento
G23522,0,0,0.0,RandomForest,Anegamiento
G50163,0,0,0.006,RandomForest,Anegamiento
G15815,0,0,0.004,RandomForest,Anegamiento
G5625,0,0,0.0,RandomForest,Anegamiento
G9283,0,0,0.0,RandomForest,Anegamiento
G50145,0,0,0.26,RandomForest,Anegamiento
G51654,1,1,0.91,RandomForest,Anegamiento
G2415,0,0,0.0,RandomForest,Anegamiento
G22786,0,0,0.0,RandomForest,Anegamiento
G12263,0,0,0.0,RandomForest,Anegamiento
G23766A,0,0,0.014,RandomForest,Anegamiento
G14252,0,0,0.018,RandomForest,Anegamiento
G1971,0,0,0.006,RandomForest,Anegamiento
G19682,0,0,0.002,RandomForest,Anegamiento
G2831C,0,0,0.0,RandomForest,Anegamiento
G18676,0,0,0.0,RandomForest,Anegamiento
G22572,0,0,0.0,RandomForest,Anegamiento
G23544,0,0,0.006,RandomForest,Anegamiento
G12879C,0,0,0.008,RandomForest,Anegamiento
G13868,0,0,0.0,RandomForest,Anegamiento
G21111,0,0,0.0,RandomForest,Anegamiento
G7118,0,0,0.0,RandomForest,Anegamiento
G50430,0,0,0.0,RandomForest,Anegamiento
G11033,0,0,0.0,RandomForest,Anegamiento
G23812Q,0,0,0.0,RandomForest,Anegamiento
G305,0,0,0.0,RandomForest,Anegamiento
G52083,0,0,0.322,RandomForest,Anegamiento
G12283A,0,0,0.006,RandomForest,Anegamiento
G11595,0,0,0.174,RandomForest,Anegamiento
G20061,0,0,0.0,RandomForest,Anegamiento
G15930,0,0,0.0,RandomForest,Anegamiento
G18190,0,0,0.042,RandomForest,Anegamiento
G50383,1,1,1.0,RandomForest,Anegamiento
G4906,0,1,0.726,RandomForest,Anegamiento
G24430,1,1,0.946,RandomForest,Anegamiento
G2468,0,0,0.0,RandomForest,Anegamiento
G7442,1,1,0.998,RandomForest,Anegamiento
G14443,0,0,0.138,RandomForest,Anegamiento
G21139,0,0,0.0,RandomForest,Anegamiento
G12399,0,0,0.04,RandomForest,Anegamiento
G3377,0,0,0.0,RandomForest,Anegamiento
G1994,1,1,0.998,RandomForest,Anegamiento
G3017,0,0,0.006,RandomForest,Anegamiento
G20891,0,0,0.02,RandomForest,Anegamiento
G22389,1,1,0.914,RandomForest,Anegamiento
G53,0,0,0.0,RandomForest,Anegamiento
G1720,0,0,0.008,RandomForest,Anegamiento
G18554,0,0,0.0,RandomForest,Anegamiento
G15288,0,0,0.104,RandomForest,Anegamiento
G23533,0,0,0.0,RandomForest,Anegamiento
G524,0,0,0.0,RandomForest,Anegamiento
G8204,1,1,0.994,RandomForest,Anegamiento
G50553,0,0,0.178,RandomForest,Anegamiento
G50723B,0,0,0.014,RandomForest,Anegamiento
G18572,0,0,0.002,RandomForest,Anegamiento
G52029,0,0,0.052,RandomForest,Anegamiento
G20901,0,0,0.092,RandomForest,Anegamiento
G608,0,0,0.0,RandomForest,Anegamiento
G7116,0,0,0.036,RandomForest,Anegamiento
G8186,1,1,0.892,RandomForest,Anegamiento
G20872,0,0,0.002,RandomForest,Anegamiento
G52621,0,0,0.172,RandomForest,Anegamiento
G7958,0,0,0.184,RandomForest,Anegamiento
G51600,0,0,0.0,RandomForest,Anegamiento
G16159,0,0,0.0,RandomForest,Anegamiento
G3425,0,0,0.0,RandomForest,Anegamiento
G20271,0,0,0.0,RandomForest,Anegamiento
G22401,1,1,0.884,RandomForest,Anegamiento
G22826,0,0,0.0,RandomForest,Anegamiento
G9516C,0,0,0.0,RandomForest,Anegamiento
G16576,0,0,0.0,RandomForest,Anegamiento
G23590,1,1,0.534,RandomForest,Anegamiento
G7253B,1,1,0.986,RandomForest,Anegamiento
G15279,0,0,0.212,RandomForest,Anegamiento
G17147A,0,0,0.006,RandomForest,Anegamiento
G7971,0,0,0.0,RandomForest,Anegamiento
G24505,0,0,0.018,RandomForest,Anegamiento
G6749,0,0,0.08,RandomForest,Anegamiento
G20215,0,0,0.0,RandomForest,Anegamiento
G9996,0,0,0.0,RandomForest,Anegamiento
G51259A,0,0,0.0,RandomForest,Anegamiento
G438,0,0,0.0,RandomForest,Anegamiento
G51376,0,0,0.0,RandomForest,Anegamiento
G50583,0,0,0.0,RandomForest,Anegamiento
G10,0,0,0.0,RandomForest,Anegamiento
G52055,1,1,0.52,RandomForest,Anegamiento
G6977,0,0,0.02,RandomForest,Anegamiento
G3194,0,0,0.008,RandomForest,Anegamiento
G16060,0,0,0.004,RandomForest,Anegamiento
G21902,0,0,0.0,RandomForest,Anegamiento
G24574A,0,0,0.0,RandomForest,Anegamiento
G51190,0,0,0.0,RandomForest,Anegamiento
G12720,1,1,0.998,RandomForest,Anegamiento
G15994,0,0,0.0,RandomForest,Anegamiento
G10049,0,0,0.002,RandomForest,Anegamiento
G16100,0,0,0.0,RandomForest,Anegamiento
G23439,0,0,0.04,RandomForest,Anegamiento
G51617,1,1,0.568,RandomForest,Anegamiento
G50042,0,0,0.028,RandomForest,Anegamiento
G3618,0,1,0.654,RandomForest,Anegamiento
G50484,1,1,0.988,RandomForest,Anegamiento
G13059,0,0,0.0,RandomForest,Anegamiento
G19902,0,0,0.008,RandomForest,Anegamiento
G18681,0,0,0.0,RandomForest,Anegamiento
G50384,1,1,0.818,RandomForest,Anegamiento
G52622,0,0,0.006,RandomForest,Anegamiento
G19855C,0,0,0.0,RandomForest,Anegamiento
G649,0,0,0.09,RandomForest,Anegamiento
G21192,0,0,0.0,RandomForest,Anegamiento
G20932,0,0,0.0,RandomForest,Anegamiento
G10102,0,0,0.008,RandomForest,Anegamiento
G2914,0,0,0.0,RandomForest,Anegamiento
G24871,0,0,0.012,RandomForest,Anegamiento
G738,0,0,0.222,RandomForest,Anegamiento
G22486,0,0,0.0,RandomForest,Anegamiento
G7186,0,0,0.012,RandomForest,Anegamiento
G9458,0,0,0.0,RandomForest,Anegamiento
G12882,0,0,0.002,RandomForest,Anegamiento
G52067,0,0,0.036,RandomForest,Anegamiento
G10076,0,0,0.006,RandomForest,Anegamiento
G9623,0,0,0.372,RandomForest,Anegamiento
G340,0,0,0.0,RandomForest,Anegamiento
G7479K,0,0,0.0,RandomForest,Anegamiento
G24386,0,0,0.002,RandomForest,Anegamiento
G6140,0,0,0.044,RandomForest,Anegamiento
G11059,0,0,0.0,RandomForest,Anegamiento
G4718,1,1,0.844,RandomForest,Anegamiento
G20877,0,0,0.0,RandomForest,Anegamiento
G2927,0,0,0.004,RandomForest,Anegamiento
G14691,0,0,0.008,RandomForest,Anegamiento
G594,0,0,0.006,RandomForest,Anegamiento
G24322,0,0,0.0,RandomForest,Anegamiento
G5020,0,0,0.032,RandomForest,Anegamiento
G24315,0,0,0.008,RandomForest,Anegamiento
