DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,SAMPSTAT,ELEVATION,COLLSRC,MODCF_CloudForestPrediction,MODCF_meanannual,MODCF_seasonality_concentration,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,AWCh1_M_sl1,AWCh1_M_sl2,AWCtS_M_sl1,CECSOL_M_sl1,CECSOL_M_sl2,CLYPPT_M_sl1,CRFVOL_M_sl1,BDRICM_M,ORCDRC_M_sl1,ORCDRC_M_sl2,OCDENS_M_sl1,OCSTHA_M_sd1,PHIHOX_M_sl1,PHIKCL_M_sl1,BDRLOG_M,SNDPPT_M_sl1,SLTPPT_M_sl1,SLGWRB,WWP_M_sl1,ACDWRB_M_ss,bio1,bio10,bio12,bio13,bio14,bio15,bio18,bio19,bio2,bio3,bio8,bio9,prec_1,prec_10,prec_11,prec_4,prec_5,prec_6,prec_7,srad_1,srad_10,srad_3,srad_4,srad_5,srad_9,wind_1,wind_10,cluster_anegamiento,Resistencia_Anegamiento
2568,G9494,0,0,0,0,24,1319,37.14,58.5,0.3591811050669926,-0.1183188587635849,0.3859604233784113,-0.5607566981606318,-1.360372068539877,1.957520763822329,-0.7336010241152892,0.2964717967626016,-0.4096525352556686,1.367776643260925,-0.1772172155267593,0.2276848888251061,-2.0964904030570635,-0.9564418468836516,-0.5973221910982662,-1.5281419427651075,-0.4281375239605672,0.6071251130757639,-1.4197407631603518,-0.9925373810649966,-1.5260159956699304,-1.7943026294036697,1.981934343128782,2.448902220273293,-1.299098997659856,-1.2164419108815294,2.767501341297,-0.1099513511812154,-1.3597075502692766,-1.1698836982734446,-1.0479178141905765,0.4901510647805945,-1.109094801960166,-1.2475990475179293,-0.3084332289808579,-0.9387614926116564,-1.356549574545609,-0.1584438091398809,0.2703987503744204,-1.5410395437052298,-1.9425286173124297,0.8605387740077706,-0.3471238684402122,-0.8430350640857079,-0.5243944701130183,-0.4200050811441545,-0.6554914050824778,-0.9475395995423856,-0.962952910359172,-1.1589277832957694,-0.4110645151897137,-0.9302164869306548,-0.0946096717995068,1.1827514952274476,1.68376797775814,-0.5870329857362047,0.0648911749314939,1,0
2566,G9458,0,0,0,0,24,1469,32.68,51.64,0.3591811050669926,-0.581949989286107,0.3859604233784113,-0.5511383322502111,-2.0975534408661485,1.98482741406894,-0.4180599059270696,1.198767687430176,-1.740831416174644,1.9949036144069008,0.3085889191485086,-0.2768287559180501,-1.860985648634604,-1.30346708493304,-1.2735568509887132,-0.8427162681767036,-0.4281375239605672,0.6071251130757639,-1.3971720212996457,-1.0319464816423165,-1.3981583935202089,-1.6886759504591775,1.8529768875262569,2.284841234397297,-1.353287997233943,-0.3070593246106268,1.117049756179154,-0.1099513511812154,-1.3597075502692766,-1.1698836982734446,-0.2214081164433869,1.349199637131291,-1.607629417299538,-1.6097999501573403,-0.8120047329490826,0.2794971172092221,-1.6086865775224288,-0.5395065093978536,0.2392366098353996,-1.5347945452345448,-1.77354131696164,1.2526793889759864,-0.6394527119615792,-1.159437566726064,-0.921995047850897,-0.8531945227576094,-1.0593674252865384,-1.119246290639723,-1.073672674336954,-0.7265815671108149,0.4596031151211757,-0.1879200489213079,0.3930377801576206,1.2474865065303196,2.458529894263924,-0.8011362203182835,-0.3221277223510561,0,0
1866,G67,0,0,0,0,24,488,31.32,48.77,0.3591811050669926,-1.2181163921151978,0.3859604233784113,-0.5400668788228187,-2.096968840253677,2.3580183007726023,-0.4080699089905674,1.2030197387995336,-1.7433087820152555,1.9727781812005056,0.3085889191485086,-0.2768287559180501,-1.6254808942121433,-1.0721169262334478,-0.7325691230763556,-0.8427162681767036,-0.294667587114274,0.6071251130757639,-1.4874469887424702,-1.150173783374276,-1.6538735978196522,-2.0055559872926523,1.5950619763212064,3.105146163777276,-1.299098997659856,-0.8267065167654283,1.6672002845517695,3.991234047878121,-1.0901110558948175,-1.1698836982734446,1.5436109845231556,3.752921950796887,-1.4142179946260691,-1.2666622529200036,-0.8120047329490826,1.1940765176790564,-1.6251302951078737,-0.0631781340753878,1.148603625365872,-1.3875843813012827,-0.7928607796376405,2.7601897451723576,-0.1132607936231186,-1.159437566726064,-0.6477877528592566,-0.8830696566619857,-1.1401426293273509,-1.1287855512562417,-1.0828993213351026,-0.66129292133339,0.3432776639024499,-0.135576789828824,0.4165269043699381,1.299555972143499,2.267676426149982,-0.0517750268964503,0.1938976790757006,0,0
177,G6029,0,0,0,0,24,2938,35.27,59.2,0.3591811050669926,-0.0965002723001041,0.3859604233784113,-0.547443237993806,-1.791222719931203,2.558267069247739,-0.7482006588974842,0.417428060027828,-0.9466316128043204,1.7487774966403165,-0.1772172155267593,0.2276848888251061,-2.3319951574795232,-0.8407667675338554,-0.5973221910982662,-2.0764824824358303,0.5061520339634855,0.6071251130757639,-1.4197407631603518,-1.0319464816423165,-1.694249682709038,-1.7943026294036697,2.110891798731307,2.1207802485213016,-0.81139800149307,1.381794049892478,0.5668992278065389,-0.1099513511812154,-2.168497033392653,-1.1698836982734446,-0.6620498175768469,0.9458904110357216,-1.4025466156716355,-1.3429150745283007,-0.7732684634130653,0.6273702042222951,-1.5867616207418358,-0.2135976210193244,0.4007130224087981,-1.5450290086853538,-2.366382048460814,0.9685535296394774,-0.3325074262641438,-1.1376167044750047,-0.9494157773500612,-0.5992558845704118,-0.9516671532321224,-1.081089248173648,-1.073672674336954,-1.0010559073858087,0.0638128603647795,-0.7703107064063631,0.4056094241022413,1.353032720611089,2.0226618387064086,-0.5870329857362047,0.0648911749314939,1,0
176,G6028,0,0,0,0,24,2042,36.21,58.84,0.3591811050669926,-0.0910187035482329,0.3859604233784113,-0.5476014715485218,-1.6783948017242478,2.212382832790685,-0.7423119404557791,0.3702098959419954,-0.5507637543499071,1.48588761243171,-1.1488294848772953,-0.7813424006612064,-2.3319951574795232,-0.2623913707848747,0.2141594007702701,-1.1168865380120652,-0.4281375239605672,0.6071251130757639,-1.4874469887424702,-1.0319464816423165,-1.4048877410017728,-1.7943026294036697,1.8529768875262569,1.7926582767693102,-1.299098997659856,-0.5668829206880276,1.804737916644924,-0.1099513511812154,-1.0901110558948175,-1.1698836982734446,-1.087158651711624,0.4014229827304901,-1.340855041198202,-1.304788663724152,-0.734532193877048,0.2018825156544091,-1.5812803815466876,-0.2135976210193244,0.4800347573235906,-1.5239436375446749,-2.6960458449385385,0.8088794963188466,-0.3471238684402122,-1.0721541177218277,-0.8397328593534049,-0.5096304828572832,-0.8843544831981122,-1.0524714663240915,-1.0644460273388057,-1.0728952534084604,-0.2113961339819619,-0.8683824171235995,0.0757691869236414,1.2784467293273452,1.848314616483403,-0.5870329857362047,0.0648911749314939,1,0
192,G5598,0,0,0,0,24,1022,37.46,59.12,0.3591811050669926,-0.4237338271627556,0.3859604233784113,-0.5996900929105351,-1.2533901564576346,1.8756008130825013,-0.7273087248014214,0.2807425091909796,-0.3625534902455445,1.3297911603948178,0.3085889191485086,0.2276848888251061,-1.6254808942121433,-0.7250916881840593,-0.4620752591201768,-1.5281419427651075,-0.828547334499447,0.6071251130757639,-1.4874469887424702,-1.0713555822196363,-1.2568420964073583,-1.6886759504591775,1.981934343128782,1.7926582767693102,-1.353287997233943,-0.9566183148041288,2.4924260771106925,-0.1099513511812154,-1.3597075502692766,-1.1698836982734446,-0.3726488351003529,1.7605747692798566,-1.409215975074169,-1.4572943069407462,-0.6957959243410308,-0.3506368003239429,-1.5483929463757982,-0.4141569369445732,0.6046831295176388,-1.584756416217091,-1.551918573960517,1.6002050602265832,-0.551754058905169,-1.01760196209418,-0.7848914003550768,-0.5693807506660356,-0.8170418131641021,-1.0620107269406105,-1.055219380340657,-1.201944048239424,-0.5373201878539405,-0.9684673301136238,-0.1548212296395321,1.1819071255148017,1.519221339032877,-0.1588267718029321,0.1938976790757006,1,0
351,G5594,0,0,0,0,24,2721,29.65,52.54,0.3591811050669926,-1.222868897423912,0.3859604233784113,-0.5534803682456266,-2.070077212079999,1.5115121431277077,1.172407915024836,1.4542780553927697,-1.887073141177997,1.019938421539984,0.7943950538237766,-0.2768287559180501,-1.1544713853672233,-1.419142164282836,-1.1383099190106238,-0.5685459983413421,3.442490644581937,-0.8224043914019028,-1.3746032794389391,-0.8349009787557171,-1.3510529611492583,-1.6886759504591775,1.7240194319237316,2.7770241920252845,0.760082986155463,-0.047235728533226,0.7044368598996927,-0.1099513511812154,-1.3597075502692766,-1.1698836982734446,-0.1576418467754183,1.4580929843271306,-1.5292644443197705,-1.4668259096417835,-0.8120047329490826,0.9716173326440372,-1.6086865775224288,-0.3038493131856863,1.3497409923570665,-1.222190857400551,-1.7541493298077124,1.365390389648906,-0.3471238684402122,-1.1703479978515934,-0.9494157773500612,-0.8980072236141737,-1.1132175613137465,-1.119246290639723,-1.073672674336954,-0.3512264430593317,1.0671198771262893,0.2894964900540952,0.7404121523116124,1.6097211132555205,2.792265553371275,-0.3729298787695683,0.0648911749314939,0,0
347,G5557,0,0,0,0,24,1563,35.8,50.98,0.3591811050669926,-0.6830190334837462,0.3859604233784113,-0.5998592518677814,-1.873651406289652,2.112258448553117,-0.7304584711087022,0.3569198048904883,-0.4656032428769086,1.4206295282637753,-0.1772172155267593,-0.2768287559180501,-2.0964904030570635,-1.1877920055832438,-1.0030629870325345,-1.253971672929746,-0.0277277134216875,0.6071251130757639,-1.0812096352497598,-0.8349009787557171,-1.1693605791470223,-1.2661692346812117,1.7240194319237316,1.9567192626453056,-0.9197760006412448,0.4724114636215755,0.8419744919928466,-0.1099513511812154,-1.6293040446437357,-1.1698836982734446,-0.6473345196475421,1.0547838351566736,-1.3808711976134025,-1.428699498837635,-0.6957959243410308,-0.1933518724294286,-1.5538741855709464,-0.3088632960838176,-0.2168635415339966,-1.7276644811015305,-2.388544310294231,1.1070941579600218,-0.4494389636726906,-0.9957810998431212,-0.7163395766071667,-0.6440685854269761,-0.8708919491913102,-1.0715499875571293,-1.0459927333425083,-1.1410225359588169,-0.5419306478107803,-0.9054828590078328,-0.1779795211164649,0.8058811468163802,1.182906579005067,-0.265878261478529,0.4519103797890794,1,0
339,G5550,0,0,0,0,24,831,36.64,51.44,0.3591811050669926,-0.9695901983952848,0.3859604233784113,-0.4468733622989425,0.1022986638632405,-1.2828683987753329,-1.7595976229639576,-1.7296606574329094,1.3367304482919526,1.5194746448617782,0.7943950538237766,1.2367121783114188,0.4940618955899966,-0.1467162914350786,-0.4620752591201768,-0.1572905935882998,0.5061520339634855,0.6071251130757639,0.1826399089497839,-0.2043553695185991,0.2707197819077382,0.1069775915971782,0.8213172427060557,0.3161094038853487,0.0014369921182401,-1.2164419108815294,1.5296626524586157,-0.1099513511812154,0.2578714159774761,-1.1698836982734446,-0.2892620406888743,0.7966660719977228,0.1297387070604138,0.277457384648012,0.3113470835954186,-0.300779055673409,-0.3096328882722938,0.7942129415050507,-1.4860111971689995,-1.7888139052214227,-0.0393434777067256,0.6773832691506362,0.500629777771752,1.2626781431414882,1.340215135830137,-0.4797553489529069,-0.5747162010416657,-0.7281366053624546,-0.8153265583887956,-1.2984576985190956,-1.526795824744931,-1.4898867187656757,-0.8439458174459749,0.2415607221978664,-1.1460215521691088,-0.0517750268964503,0.0648911749314939,1,0
341,G5553,0,0,0,0,24,2411,36.22,57.71,0.3591811050669926,0.0872302616268949,0.3859604233784113,-0.5475406421573284,-1.9356190712116064,1.9666229805712,-0.7515143747672284,0.4220393192587297,-0.9527072878636464,1.7553317548884808,0.3085889191485086,0.7321985335682625,-2.8030046663244432,-1.5348172436326322,-1.2735568509887132,-2.350652752271192,0.2392121602708989,0.6071251130757639,-1.4874469887424702,-1.189582883951596,-1.8692127172297093,-2.0055559872926523,2.110891798731307,2.284841234397297,-1.0823429993635068,2.03135304008598,0.2918239636202311,-0.1099513511812154,-2.9772865165160294,-1.1698836982734446,-0.11022588282862,1.881567514030993,-1.47424222924887,-1.4572943069407462,-0.7732684634130653,0.3326361294229824,-1.5867616207418358,-0.3439611763707361,0.2902290836343059,-1.669218667818899,-1.9674611472204648,1.4804495464329477,-0.4786718480248273,-1.1267062733494753,-0.921995047850897,-0.7038188532357285,-0.9785922212457264,-1.0906285087901668,-1.0644460273388057,-1.0281321350660786,-0.2117507847478726,-0.6664869891954471,0.1538457124744434,1.2852016870285146,1.8359349320652008,-0.5870329857362047,0.0648911749314939,1,0
