problema,modelo,y_true,y_proba
sequía,XGBoost,0,0.0009873948292806745
sequía,XGBoost,0,0.0008836922934278846
sequía,XGBoost,1,0.9838458299636841
sequía,XGBoost,0,0.012550976127386093
sequía,XGBoost,0,0.00033067248295992613
sequía,XGBoost,0,0.000638788565993309
sequía,XGBoost,0,0.0008068563765846193
sequía,XGBoost,0,0.00010696454410208389
sequía,XGBoost,0,0.8147093057632446
sequía,XGBoost,0,0.02182750776410103
sequía,XGBoost,1,0.9990637898445129
sequía,XGBoost,0,0.0012139891041442752
sequía,XGBoost,0,0.0015952445100992918
sequía,XGBoost,0,0.005060216877609491
sequía,XGBoost,0,0.00031990246498025954
sequía,XGBoost,0,0.0007412176346406341
sequía,XGBoost,1,0.9518037438392639
sequía,XGBoost,0,0.8077254891395569
sequía,XGBoost,0,0.0009627476101741195
sequía,XGBoost,0,0.017814014106988907
sequía,XGBoost,0,0.0001121711902669631
sequía,XGBoost,1,0.7443286776542664
sequía,XGBoost,1,0.9698536992073059
sequía,XGBoost,0,0.00014256706344895065
sequía,XGBoost,1,0.9967496395111084
sequía,XGBoost,0,0.00594088900834322
sequía,XGBoost,0,0.005809333175420761
sequía,XGBoost,1,0.9637770056724548
sequía,XGBoost,0,0.0004326759953983128
sequía,XGBoost,0,0.0006316322251223028
sequía,XGBoost,0,0.008022699505090714
sequía,XGBoost,0,0.04928967356681824
sequía,XGBoost,1,0.9942699670791626
sequía,XGBoost,1,0.9782688021659851
sequía,XGBoost,0,0.0002586551709100604
sequía,XGBoost,0,0.0010890030534937978
sequía,XGBoost,0,0.0032555784564465284
sequía,XGBoost,0,0.006850710604339838
sequía,XGBoost,0,0.024856911972165108
sequía,XGBoost,0,0.00015102955512702465
sequía,XGBoost,0,0.028302138671278954
sequía,XGBoost,1,0.9930343627929688
sequía,XGBoost,1,0.9344231486320496
sequía,XGBoost,1,0.9988458156585693
sequía,XGBoost,0,0.012316073291003704
sequía,XGBoost,0,0.00023756663722451776
sequía,XGBoost,0,0.00028269094764254987
sequía,XGBoost,0,0.00015325828280765563
sequía,XGBoost,0,0.003267157357186079
sequía,XGBoost,0,0.006117186509072781
sequía,XGBoost,0,0.0028721115086227655
sequía,XGBoost,1,0.9991878867149353
sequía,XGBoost,0,0.0003304729762021452
sequía,XGBoost,0,0.9902806282043457
sequía,XGBoost,0,0.0009067467763088644
sequía,XGBoost,1,0.8201745748519897
sequía,XGBoost,1,0.7376170754432678
sequía,XGBoost,0,0.0006071560201235116
sequía,XGBoost,1,0.9988752007484436
sequía,XGBoost,1,0.9812371134757996
sequía,XGBoost,1,0.999014139175415
sequía,XGBoost,0,0.0029741711914539337
sequía,XGBoost,1,0.9423090815544128
sequía,XGBoost,0,0.2280934453010559
sequía,XGBoost,0,0.18649835884571075
sequía,XGBoost,0,0.00029694661498069763
sequía,XGBoost,1,0.9990494847297668
sequía,XGBoost,1,0.9989163875579834
sequía,XGBoost,0,0.0009991751285269856
sequía,XGBoost,0,0.0012714378535747528
sequía,XGBoost,1,0.5075585246086121
sequía,XGBoost,0,0.0007217099773697555
sequía,XGBoost,0,0.00013208969903644174
sequía,XGBoost,0,0.0011660491582006216
sequía,XGBoost,1,0.9981206059455872
sequía,XGBoost,0,0.00016374410188291222
sequía,XGBoost,0,0.00023595127277076244
sequía,XGBoost,0,0.002850321587175131
sequía,XGBoost,0,0.000977182760834694
sequía,XGBoost,1,0.999213695526123
sequía,XGBoost,1,0.9948200583457947
sequía,XGBoost,0,0.00019992614397779107
sequía,XGBoost,0,0.0007939821807667613
sequía,XGBoost,1,0.9977766871452332
sequía,XGBoost,0,0.00030485590104945004
sequía,XGBoost,0,0.3867092430591583
sequía,XGBoost,0,0.0027904356829822063
sequía,XGBoost,1,0.4002825617790222
sequía,XGBoost,1,0.9064364433288574
sequía,XGBoost,1,0.9970307350158691
sequía,XGBoost,0,0.00015349096793215722
sequía,XGBoost,0,0.0003650996077340096
sequía,XGBoost,0,0.012630793265998363
sequía,XGBoost,0,0.0006186795071698725
sequía,XGBoost,0,0.0005375019973143935
sequía,XGBoost,0,0.0011172592639923096
sequía,XGBoost,1,0.9900042414665222
sequía,XGBoost,1,0.9837990999221802
sequía,XGBoost,1,0.9857606291770935
sequía,XGBoost,0,0.8733948469161987
sequía,XGBoost,1,0.01790224015712738
sequía,XGBoost,0,0.002819815883412957
sequía,XGBoost,0,0.0039894371293485165
sequía,XGBoost,0,0.00020001671509817243
sequía,XGBoost,0,0.0009452655212953687
sequía,XGBoost,1,0.993237316608429
sequía,XGBoost,0,0.0008445019484497607
sequía,XGBoost,0,0.0007350143860094249
sequía,XGBoost,1,0.9599175453186035
sequía,XGBoost,0,0.0003095406573265791
sequía,XGBoost,1,0.9892431497573853
sequía,XGBoost,0,0.00153465720359236
sequía,XGBoost,0,0.002225652802735567
sequía,XGBoost,0,0.010741260834038258
sequía,XGBoost,0,0.001833573798649013
sequía,XGBoost,1,0.981988251209259
sequía,XGBoost,0,0.0003018279676325619
sequía,XGBoost,0,0.0004154161724727601
sequía,XGBoost,0,0.0005302675999701023
sequía,XGBoost,0,0.0010859479662030935
sequía,XGBoost,1,0.9992741942405701
sequía,XGBoost,0,0.003268294269219041
sequía,XGBoost,0,0.002835287945345044
sequía,XGBoost,0,0.000311540556140244
sequía,XGBoost,0,0.0011592392111197114
sequía,XGBoost,0,0.0002633577969390899
sequía,XGBoost,1,0.10042977333068848
sequía,XGBoost,0,0.00044876241008751094
sequía,XGBoost,1,0.9954773783683777
sequía,XGBoost,0,0.001387406955473125
sequía,XGBoost,1,0.9511224627494812
sequía,XGBoost,0,0.003535256255418062
sequía,XGBoost,0,0.0003362825664225966
sequía,XGBoost,0,0.06168040260672569
sequía,XGBoost,0,0.0020698443986475468
sequía,XGBoost,0,0.0006897216662764549
sequía,XGBoost,0,0.00019251456251367927
sequía,XGBoost,1,0.9972056746482849
sequía,XGBoost,0,0.0011279263999313116
sequía,XGBoost,0,0.004275179002434015
sequía,XGBoost,0,0.002817148808389902
sequía,XGBoost,0,0.9923309087753296
sequía,XGBoost,0,0.004205751232802868
sequía,XGBoost,1,0.9956400394439697
sequía,XGBoost,0,0.0005718332249671221
sequía,XGBoost,0,0.0008235595305450261
sequía,XGBoost,0,0.0003179986379109323
sequía,XGBoost,0,0.00010681501589715481
sequía,XGBoost,0,0.0014818917261436582
sequía,XGBoost,0,0.00024174025747925043
sequía,XGBoost,1,0.9963177442550659
sequía,XGBoost,0,0.000130224390886724
sequía,XGBoost,0,0.0003592396969906986
sequía,XGBoost,1,0.9800339937210083
sequía,XGBoost,1,0.9951788187026978
sequía,XGBoost,0,0.0004950713482685387
sequía,XGBoost,0,0.0016415531281381845
sequía,XGBoost,0,0.06870413571596146
sequía,XGBoost,1,0.8168827891349792
sequía,XGBoost,1,0.9836013913154602
sequía,XGBoost,0,0.002697964198887348
sequía,XGBoost,0,0.001222180319018662
sequía,XGBoost,0,0.0006135192816145718
sequía,XGBoost,0,0.7981892228126526
sequía,XGBoost,0,0.00019652994524221867
sequía,XGBoost,0,0.0006518388981930912
