ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G21198,0,0,0.024,RandomForest,Sequia
G19153,0,0,0.0,RandomForest,Sequia
G231,0,0,0.014,RandomForest,Sequia
G22741A,1,1,0.852,RandomForest,Sequia
G14185,0,0,0.0,RandomForest,Sequia
G21193,0,0,0.048,RandomForest,Sequia
G18448,0,0,0.012,RandomForest,Sequia
G24498B,0,0,0.024,RandomForest,Sequia
G24463,0,0,0.058,RandomForest,Sequia
G15987,0,0,0.0,RandomForest,Sequia
G413,1,1,0.67,RandomForest,Sequia
G50984,0,0,0.13,RandomForest,Sequia
G24604,0,0,0.0,RandomForest,Sequia
G13891,1,1,0.644,RandomForest,Sequia
G146,0,0,0.284,RandomForest,Sequia
G2010,0,0,0.018,RandomForest,Sequia
G24277,0,0,0.058,RandomForest,Sequia
G20104,0,0,0.054,RandomForest,Sequia
G11125,0,0,0.0,RandomForest,Sequia
G14161,1,1,0.57,RandomForest,Sequia
G21126,0,0,0.016,RandomForest,Sequia
G20292,0,0,0.054,RandomForest,Sequia
G20766,0,1,0.842,RandomForest,Sequia
G50795,0,0,0.028,RandomForest,Sequia
G18651,0,0,0.002,RandomForest,Sequia
G2914,0,0,0.0,RandomForest,Sequia
G14962,0,0,0.0,RandomForest,Sequia
G13928,1,1,0.854,RandomForest,Sequia
G8908,0,0,0.0,RandomForest,Sequia
G50501B,1,1,0.892,RandomForest,Sequia
G1939,0,0,0.066,RandomForest,Sequia
G17217,0,0,0.134,RandomForest,Sequia
G51645C,1,1,0.94,RandomForest,Sequia
G51262D,0,1,0.54,RandomForest,Sequia
G20942,1,1,0.996,RandomForest,Sequia
G23542A,0,0,0.0,RandomForest,Sequia
G7225A,0,0,0.018,RandomForest,Sequia
G13044,0,0,0.248,RandomForest,Sequia
G20274,1,1,0.886,RandomForest,Sequia
G24769,0,1,0.85,RandomForest,Sequia
G16686,0,0,0.008,RandomForest,Sequia
G16007,0,0,0.002,RandomForest,Sequia
