DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ORIGCTY,COLLSITE,ELEVATION,COLLSRC,MODCF_CloudForestPrediction,MODCF_seasonality_concentration,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,BDRICM_M,SLGWRB,ACDWRB_M_ss,bio18,bio19
10.18730/JP95U,G11035,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,"1.5 KM N DE TAMAZULA, SANALONA - CULIACAN - SINALOA",-1.325658725143764,-1.80637314900962,-0.5686047191035293,0.1643840642949716,0.9728729290858624,-1.084127284449407,-1.911569728146792,-0.1099513511812154,-1.1698836982734446,1.0880831064905097,-0.5645764238885097
10.18730/S42ED,G11030A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-1.2939186614670004,MEX,"IGNACIO ZARAGOZA, MALPAIS LOS CAMPOS - FRANCISCO I. MADERO - DURANGO",1.162455255094415,2.5782939957664426,-0.4560551606316933,0.5648816012452444,0.581159953216303,-1.3769030049196411,-2.864589397798569,-0.1099513511812154,-1.1698836982734446,-0.468588824931593,-0.7350518424249712
10.18730/JP8CB,G11031,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,6 KM DE PANUCO CRO LAS MANZANILLAS - FRANCISCO I. MADERO - DURANGO,1.473469502624187,-2.902539935203636,-0.4205744607426445,0.5466771677475049,0.6152655903991877,-1.4061805420650872,-3.851645484223625,-0.1099513511812154,-1.1698836982734446,-0.4576263465412965,-0.73003785952684
10.18730/PGDZN,G11032,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,"JERONIMO HERNANDEZ, CHARCO DEL INDIO - FRANCISCO I. MADERO - DURANGO",1.1341812325917082,-2.902539935203636,-0.4575536971982128,0.5557793844963747,0.6488695671758437,-1.4354580792105334,-3.273026399077903,-0.1099513511812154,-1.1698836982734446,-0.4850325425170377,-0.7350518424249712
10.18730/S2KET,G11027E,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,"12 KM N DE CASTILLO NAJERA, LA BRENA - DURANGO - DURANGO",1.0493591650835885,-2.902539935203636,-0.4585970967809062,0.8197436702136,0.5244845722651621,-1.347625467774195,-1.911569728146792,-0.1099513511812154,-1.1698836982734446,-0.4795513033218895,-0.7250238766287087
10.18730/JP854,G11028,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,FLORES MAGON CERRO CERCA DE EL FRAILE - DURANGO - DURANGO,1.120044221340355,-2.902539935203636,-0.4566744032729958,0.9016636209534286,0.6092468134887591,-1.4061805420650872,-1.3669870597743472,-0.1099513511812154,-1.1698836982734446,-0.446663868151,-0.7200098937305776
10.18730/PMPS~,G11029,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-1.2939186614670004,MEX,"2 KM E DE MEDINA, EN EL ARROYO - CANATLAN - DURANGO",1.0917701988376485,2.5782939957664426,-0.4179057610780678,0.5193705175008952,0.591692525818474,-1.3769030049196411,-4.294118902276236,-0.1099513511812154,0.2062222827571616,-0.3918514761995175,-0.7149959108324463
10.18730/JP898,G11026,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,"MALPAIS LA BRENA, 10 KM N CASTILLO NAJERA - DURANGO - DURANGO",0.9928111200781754,-2.902539935203636,-0.4593012542197094,0.8197436702136,0.4948927307740197,-1.3183477561208623,-2.2519338958795694,-0.1099513511812154,-1.1698836982734446,-0.4740700641267412,-0.7200098937305776
10.18730/JP7W*,G11024,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,5 KM N DE CARLOS REAL - DURANGO - DURANGO,1.0493591650835885,-2.902539935203636,-0.4801378933318778,0.8106414534647302,0.4923851940524202,-1.3183477561208623,-2.1157882287864584,-0.1099513511812154,-1.1698836982734446,-0.4850325425170377,-0.7200098937305776
10.18730/JP843,G11023,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,3 KM S DE TRONCON - MEZQUITAL - DURANGO,0.2435495237564511,-1.80637314900962,-0.503102682509601,0.4920638672542858,0.5380263419951614,-1.347625467774195,-3.715499817130514,-0.1099513511812154,-1.1698836982734446,-0.578213608834558,-0.6097022699716907
